"","X.1","X.x","SiteSubsitePlot","duration","richness","richness_change","Jaccard","BrayCurtis","richness_change_abs","SiteSubsite","MOISTURE","LAT.x","LONG.x","SurveyedArea","Region","PlotShrubMean","PlotGraminoidMean","PlotForbMean","MeanRichness","LogPlotSize","ShrubDivided","ForbDivided","GramDivided","X.y","LAT.y","LONG.y","mat","warmq","coldq","prec","ID","WarmQSlope","PrecSlope","X","ForbSlope","GraminoidSlope","ShrubSlope"
"21",21,21,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:55",9,12,-1,0.181818181818182,0.12191692655632,1,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",39.1585197232123,51.4569460697528,9.3845342070349,10,0,0.391585197232123,0.093845342070349,0.514569460697528,22,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,306,0.932876206598479,-0.535644328576425,-0.397231878022054
"22",22,22,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:24",9,21,0,0.0952380952380952,0.374840581687872,0,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",41.4050926855734,31.0277036645308,27.5672036498958,20,0,0.414050926855734,0.275672036498958,0.310277036645308,23,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,298,1.47011989927653,-0.794651834322502,-0.675468064954029
"23",23,23,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:32",9,9,1,0,0.299459959014449,1,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",42.3940515642784,57.1156633799841,0.490285055737453,8,0,0.423940515642784,0.00490285055737453,0.571156633799841,24,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,301,0.0396002795372694,-3.06161933888847,3.02201905935119
"24",24,24,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:38",9,12,-3,0,0.19503115137628,3,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",80.9337884648088,13.3418800446981,5.72433149049311,10,0,0.809337884648088,0.0572433149049311,0.133418800446981,25,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,302,0.496602416641872,-0.00976593932343293,-0.486836477318438
"25",25,25,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:59",9,22,2,0.3,0.509165188468709,2,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",76.8156849692496,10.383762660026,12.8005523707244,18,0,0.768156849692496,0.128005523707244,0.10383762660026,26,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,308,1.47705899047283,1.39600429675655,-2.87306328722938
"26",26,26,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:51",9,13,0,0.461538461538462,0.243114297965631,0,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",56.5540124668574,35.4174380029202,8.02854953022245,10,0,0.565540124668574,0.0802854953022245,0.354174380029202,27,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,304,0.238393827135172,-1.76483326533274,1.52643943819757
"27",27,27,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:8",9,12,-3,0.222222222222222,0.236131224344748,3,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",83.4423700506142,14.8663888603073,1.69124108907843,10,0,0.834423700506142,0.0169124108907843,0.148663888603073,28,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,309,0.0596133207952517,-0.894152410267367,0.834539089472114
"28",28,28,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:53",9,10,-1,0,0.2645820550797,1,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",68.3828687952217,22.9165275836972,8.70060362108106,10,0,0.683828687952217,0.0870060362108106,0.229165275836972,29,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,305,0.970450433924833,-0.534207669941359,-0.436242763983475
"29",29,29,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:49",9,11,0,0,0.232186528964888,0,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",50.9193670623939,46.9540648627803,2.12656807482573,11,0,0.509193670623939,0.0212656807482573,0.469540648627803,30,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,303,0.226242662146481,-1.99693246263554,1.77068980048906
"30",30,30,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:58",9,19,-3,0.125,0.149652163041939,3,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",63.4624257550229,14.3075992773168,22.2299749676603,16,0,0.634624257550229,0.222299749676603,0.143075992773168,31,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,307,-0.268425642091734,0.458051558047358,-0.189625915955623
"31",31,31,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:28",9,10,-2,0,0.0992000303901609,2,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",84.4205603340663,8.85365169120678,6.72578797472694,9,0,0.844205603340663,0.0672578797472694,0.0885365169120678,32,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,300,0.554484950495112,0.519618551824433,-1.07410350231955
"32",32,32,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:25",9,12,0,0.166666666666667,0.279012333927877,0,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",73.7099880314858,22.846679172563,3.44333279595119,11,0,0.737099880314858,0.0344333279595119,0.22846679172563,33,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,299,0.474991163217231,1.1246652850491,-1.59965644826633
"33",33,33,"BARROW:ARCTOPHILA_POND_ORDINATION:21",9,5,0,0,0.0985517307635941,0,"BARROW:ARCTOPHILA_POND_ORDINATION","WET",71.29,-156.64,1,"North America-West",0,66.6908194269362,33.3091805730638,5,0,0,0.333091805730638,0.666908194269362,34,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,321,0.955034896394181,-0.955034896394186,NA
"34",34,34,"BARROW:CAREX WET MEADOW_ORDINATION:16",9,3,0,0,0.215938215871866,0,"BARROW:CAREX WET MEADOW_ORDINATION","WET",71.29,-156.64,1,"North America-West",0,100,0,3,0,0,0,1,35,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,417,NA,0,NA
"35",35,35,"BARROW:CAREX WET MEADOW_ORDINATION:12",9,2,0,0,0.0638526243672212,0,"BARROW:CAREX WET MEADOW_ORDINATION","WET",71.29,-156.64,1,"North America-West",0,100,0,2,0,0,0,1,36,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,416,NA,0,NA
"36",36,36,"BARROW:CAREX_MESIC MEADOW_ORDINATION:17",9,11,-1,0.4,0.200993835832292,1,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",1.6993204326563,96.6990247439142,1.60165482342953,8,0,0.016993204326563,0.0160165482342953,0.966990247439142,37,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,419,-0.0523846727998203,0.163749487107391,-0.111364814307574
"37",37,37,"BARROW:CAREX_MESIC MEADOW_ORDINATION:20",9,16,4,0.166666666666667,0.508006556304517,4,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,70.5810285960607,29.4189714039393,13,0,0,0.294189714039393,0.705810285960607,38,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,422,3.10710799336012,-3.10710799336013,NA
"38",38,38,"BARROW:CAREX_MESIC MEADOW_ORDINATION:19",9,12,4,0,0.402660858098194,4,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",1.4571595103944,73.2698026697927,25.2730378198129,10,0,0.014571595103944,0.252730378198129,0.732698026697927,39,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,421,1.07590934703811,-1.39972257157021,0.323813224532093
"39",39,39,"BARROW:CAREX_MESIC MEADOW_ORDINATION:24",9,12,-4,0.25,0.512184217346626,4,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,79.9152638673786,20.0847361326214,9,0,0,0.200847361326214,0.799152638673786,40,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,425,-2.05277272538988,2.05277272538988,NA
"40",40,40,"BARROW:CAREX_MESIC MEADOW_ORDINATION:4",9,12,-1,0.181818181818182,0.309117796247998,1,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",14.3321164822085,74.3054412816078,11.3624422361836,10,0,0.143321164822085,0.113624422361836,0.743054412816078,41,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,427,1.12944708716818,-0.49295229295669,-0.636494794211487
"41",41,41,"BARROW:CAREX_MESIC MEADOW_ORDINATION:22",9,11,-2,0.222222222222222,0.357950454736658,2,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,79.8428360884826,20.1571639115174,9,0,0,0.201571639115174,0.798428360884826,42,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,423,1.39595528229546,-1.39595528229546,NA
"42",42,42,"BARROW:CAREX_MESIC MEADOW_ORDINATION:18",9,16,3,0.307692307692308,0.411805423270038,3,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",39.4145247570528,41.623699654499,18.9617755884482,12,0,0.394145247570528,0.189617755884482,0.41623699654499,43,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,420,2.89154895763298,-0.592108283903354,-2.29944067372963
"43",43,43,"BARROW:CAREX_MESIC MEADOW_ORDINATION:23",9,7,-1,0,0.145297809512129,1,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,99.1045845272206,0.89541547277937,6,0,0,0.0089541547277937,0.991045845272206,44,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,424,-0.198981216173195,0.198981216173196,NA
"44",44,44,"BARROW:CAREX_MESIC MEADOW_ORDINATION:6",9,5,-2,0,0.239831868849462,2,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,100,0,4,0,0,0,1,45,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,428,NA,0,NA
"45",45,45,"BARROW:CAREX_MESIC MEADOW_ORDINATION:3",9,9,0,0.222222222222222,0.280475153174607,0,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,89.3407536135251,10.6592463864749,8,0,0,0.106592463864749,0.893407536135251,46,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,426,1.4886164242348,-1.4886164242348,NA
"46",46,46,"BARROW:CAREX_MESIC MEADOW_ORDINATION:13",9,2,0,0,0.0543701958839574,0,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,100,0,2,0,0,0,1,47,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,418,NA,0,NA
"47",47,47,"BARROW:CAREX_MOIST MEADOW_ORDINATION:2",9,16,-1,0.533333333333333,0.289604602262798,1,"BARROW:CAREX_MOIST MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",18.9427443806115,67.183713853637,13.8735417657515,12,0,0.189427443806115,0.138735417657515,0.67183713853637,48,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,432,0.491965892505413,-0.817389352446764,0.325423459941354
"48",48,48,"BARROW:CAREX_MOIST MEADOW_ORDINATION:9",9,15,-3,0.166666666666667,0.499789502521296,3,"BARROW:CAREX_MOIST MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",32.8768593943952,54.5237268347914,12.5994137708134,12,0,0.328768593943952,0.125994137708134,0.545237268347914,49,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,435,-0.282081002162141,-3.81792160500533,4.10000260716747
"49",49,49,"BARROW:CAREX_MOIST MEADOW_ORDINATION:14",9,11,-1,0.2,0.243809190425032,1,"BARROW:CAREX_MOIST MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",47.8529770091638,48.5408438443462,3.60617914648996,10,0,0.478529770091638,0.0360617914648996,0.485408438443462,50,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,430,0.347712026725665,-2.14159108165037,1.7938790549247
"50",50,50,"BARROW:CAREX_MOIST MEADOW_ORDINATION:15",9,13,0,0.461538461538462,0.361205847325551,0,"BARROW:CAREX_MOIST MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,86.4463929973739,13.5536070026261,10,0,0,0.135536070026261,0.864463929973739,51,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,431,1.80898428847819,-1.80898428847819,NA
"51",51,51,"BARROW:CAREX_MOIST MEADOW_ORDINATION:1",9,18,1,0.352941176470588,0.353725404975537,1,"BARROW:CAREX_MOIST MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",19.0263617004035,62.7552216271845,18.218416672412,14,0,0.190263617004035,0.18218416672412,0.627552216271845,52,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,429,1.09194425184625,-2.94228701174428,1.85034275989803
"52",52,52,"BARROW:CAREX_MOIST MEADOW_ORDINATION:5",9,4,0,0,0.0964726524685383,0,"BARROW:CAREX_MOIST MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,100,0,4,0,0,0,1,53,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,433,NA,2.23302038568361e-15,NA
"53",53,53,"BARROW:CAREX_MOIST MEADOW_ORDINATION:8",9,13,-7,0,0.395242882792927,7,"BARROW:CAREX_MOIST MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",30.9293339726666,66.1368856417508,2.93378038558257,10,0,0.309293339726666,0.0293378038558257,0.661368856417508,54,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,434,-0.651951196796132,-1.26081688169719,1.91276807849332
"54",54,54,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB01.5",9,9,0,0.222222222222222,0.3955525606469,0,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,80.5424528301887,19.4575471698113,8,-0.693147180559945,0,0.194575471698113,0.805424528301887,55,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,438,-1.54612159329142,1.54612159329142,NA
"55",55,55,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB02.0",9,9,0,0.222222222222222,0.25089605734767,0,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,58.7589605734767,41.2410394265233,8,-0.693147180559945,0,0.412410394265233,0.587589605734767,56,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,439,-1.6377937076862,1.6377937076862,NA
"56",56,56,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB00.5",9,9,1,0,0.286561264822134,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,73.0072463768116,26.9927536231884,8,-0.693147180559945,0,0.269927536231884,0.730072463768116,57,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,436,0.442834138486316,-0.442834138486319,NA
"57",57,57,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB01.0",9,6,-2,0,0.409184726522188,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,84.4427244582043,15.5572755417957,5,-0.693147180559945,0,0.155572755417957,0.844427244582043,58,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,437,-1.11799105607156,1.11799105607156,NA
"58",58,58,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB02.5",9,11,1,0,0.290625,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,80.2951388888889,19.7048611111111,10,-0.693147180559945,0,0.197048611111111,0.802951388888889,59,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,440,0.559413580246919,-0.55941358024692,NA
"59",59,59,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC03.5",9,6,1,0,0.301075268817204,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,81.1827956989247,18.8172043010753,6,-0.693147180559945,0,0.188172043010753,0.811827956989247,60,71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796,485,0.119474313022702,-0.119474313022699,NA
