"","SiteSubsitePlot","mat","warmq","coldq","prec"
"72","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB10.0",-10.9,3.7,-24.7,117
"73","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB10.5",-10.9,3.7,-24.7,117
"74","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB11.0",-10.9,3.7,-24.7,117
"75","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB11.5",-10.9,3.7,-24.7,117
"76","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB12.0",-10.9,3.7,-24.7,117
"77","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC12.0",-10.9,3.7,-24.7,117
"78","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC12.5",-10.9,3.7,-24.7,117
"79","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB13.5",-10.9,3.7,-24.7,117
"80","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB14.0",-10.9,3.7,-24.7,117
"81","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB14.5",-10.9,3.7,-24.7,117
"82","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB03.0",-10.9,3.7,-24.7,117
"83","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB03.5",-10.9,3.7,-24.7,117
"84","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC03.0",-10.9,3.7,-24.7,117
"85","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC16.0",-10.9,3.7,-24.7,117
"86","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC16.5",-10.9,3.7,-24.7,117
"87","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC17.0",-10.9,3.7,-24.7,117
"88","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC17.5",-10.9,3.7,-24.7,117
"89","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB18.0",-10.9,3.7,-24.7,117
"90","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB18.5",-10.9,3.7,-24.7,117
"91","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB31.5",-10.9,3.7,-24.7,117
"92","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB32.0",-10.9,3.7,-24.7,117
"93","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB32.5",-10.9,3.7,-24.7,117
"94","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB33.0",-10.9,3.7,-24.7,117
"95","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB33.5",-10.9,3.7,-24.7,117
"96","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB34.0",-10.9,3.7,-24.7,117
"97","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC00.5",-10.9,3.7,-24.7,117
"98","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC01.0",-10.9,3.7,-24.7,117
"99","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC01.5",-10.9,3.7,-24.7,117
"100","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC02.0",-10.9,3.7,-24.7,117
"101","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC02.5",-10.9,3.7,-24.7,117
"102","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC15.5",-10.9,3.7,-24.7,117
"103","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC28.5",-10.9,3.7,-24.7,117
"104","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB17.5",-10.9,3.7,-24.7,117
"105","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC10.0",-10.9,3.7,-24.7,117
"106","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC10.5",-10.9,3.7,-24.7,117
"107","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC11.0",-10.9,3.7,-24.7,117
"108","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC31.5",-10.9,3.7,-24.7,117
"109","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC08.0",-10.9,3.7,-24.7,117
"110","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC08.5",-10.9,3.7,-24.7,117
"111","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC09.0",-10.9,3.7,-24.7,117
"112","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC09.5",-10.9,3.7,-24.7,117
"113","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC26.5",-10.9,3.7,-24.7,117
"114","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC27.0",-10.9,3.7,-24.7,117
"115","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC14.0",-10.9,3.7,-24.7,117
"116","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC15.0",-10.9,3.7,-24.7,117
"117","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC11.5",-10.9,3.7,-24.7,117
"118","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC25.5",-10.9,3.7,-24.7,117
"119","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC26.0",-10.9,3.7,-24.7,117
"120","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC14.5",-10.9,3.7,-24.7,117
"121","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC34.0",-10.9,3.7,-24.7,117
"122","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC28.0",-10.9,3.7,-24.7,117
"123","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB16.5",-10.9,3.7,-24.7,117
"124","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB17.0",-10.9,3.7,-24.7,117
"125","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC33.0",-10.9,3.7,-24.7,117
"126","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB26.0",-10.9,3.7,-24.7,117
"127","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB26.5",-10.9,3.7,-24.7,117
"128","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC27.5",-10.9,3.7,-24.7,117
"129","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC24.5",-10.9,3.7,-24.7,117
"130","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC32.0",-10.9,3.7,-24.7,117
"131","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC32.5",-10.9,3.7,-24.7,117
"132","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB15.0",-10.9,3.7,-24.7,117
"133","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC25.0",-10.9,3.7,-24.7,117
"134","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB25.0",-10.9,3.7,-24.7,117
"135","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB25.5",-10.9,3.7,-24.7,117
"136","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB27.0",-10.9,3.7,-24.7,117
"137","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB15.5",-10.9,3.7,-24.7,117
"138","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB24.5",-10.9,3.7,-24.7,117
"139","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB27.5",-10.9,3.7,-24.7,117
"140","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB16.0",-10.9,3.7,-24.7,117
"141","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB06.5",-10.9,3.7,-24.7,117
"142","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC06.0",-10.9,3.7,-24.7,117
"143","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB04.5",-10.9,3.7,-24.7,117
"144","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB05.0",-10.9,3.7,-24.7,117
"145","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC22.5",-10.9,3.7,-24.7,117
"146","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB07.0",-10.9,3.7,-24.7,117
"147","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC05.5",-10.9,3.7,-24.7,117
"148","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC07.5",-10.9,3.7,-24.7,117
"149","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB07.5",-10.9,3.7,-24.7,117
"150","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC06.5",-10.9,3.7,-24.7,117
"151","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB05.5",-10.9,3.7,-24.7,117
"152","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB06.0",-10.9,3.7,-24.7,117
"153","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC20.5",-10.9,3.7,-24.7,117
"154","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC21.5",-10.9,3.7,-24.7,117
"155","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC22.0",-10.9,3.7,-24.7,117
"156","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB22.0",-10.9,3.7,-24.7,117
"157","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC23.0",-10.9,3.7,-24.7,117
"158","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC07.0",-10.9,3.7,-24.7,117
"159","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC19.0",-10.9,3.7,-24.7,117
"160","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC21.0",-10.9,3.7,-24.7,117
"161","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC23.5",-10.9,3.7,-24.7,117
"162","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC19.5",-10.9,3.7,-24.7,117
"163","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC20.0",-10.9,3.7,-24.7,117
"164","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC04.0",-10.9,3.7,-24.7,117
"165","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB22.5",-10.9,3.7,-24.7,117
"166","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC05.0",-10.9,3.7,-24.7,117
"167","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC04.5",-10.9,3.7,-24.7,117
"168","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB23.0",-10.9,3.7,-24.7,117
"169","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB20.5",-10.9,3.7,-24.7,117
"170","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB21.0",-10.9,3.7,-24.7,117
"171","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB04.0",-10.9,3.7,-24.7,117
"172","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC24.0",-10.9,3.7,-24.7,117
"173","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB19.0",-10.9,3.7,-24.7,117
"174","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB23.5",-10.9,3.7,-24.7,117
"175","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB24.0",-10.9,3.7,-24.7,117
"176","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB19.5",-10.9,3.7,-24.7,117
"177","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB20.0",-10.9,3.7,-24.7,117
"178","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB21.5",-10.9,3.7,-24.7,117
"179","BARROW:DRY_HEATH_ORDINATION:10",-10.9,3.7,-24.7,117
"180","BARROW:DRY_HEATH_ORDINATION:11",-10.9,3.7,-24.7,117
"181","BARROW:DRY_HEATH_ORDINATION:7",-10.9,3.7,-24.7,117
"182","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:AB29.5",-10.9,3.7,-24.7,117
"183","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:AB30.5",-10.9,3.7,-24.7,117
"184","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:BC13.0",-10.9,3.7,-24.7,117
"185","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:AB30.0",-10.9,3.7,-24.7,117
"186","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:AB13.0",-10.9,3.7,-24.7,117
"187","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:BC13.5",-10.9,3.7,-24.7,117
"188","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:AB12.5",-10.9,3.7,-24.7,117
"189","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:BC29.5",-10.9,3.7,-24.7,117
"190","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:BC30.0",-10.9,3.7,-24.7,117
"191","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:BC30.5",-10.9,3.7,-24.7,117
"192","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:BC31.0",-10.9,3.7,-24.7,117
"193","FAROE:SORNFELLI:1",4.5,8.3,1.8,2109
"194","FAROE:SORNFELLI:2",4.5,8.3,1.8,2109
"195","FAROE:SORNFELLI:3",4.5,8.3,1.8,2109
"196","FAROE:SORNFELLI:4",4.5,8.3,1.8,2109
"197","FAROE:SORNFELLI:5",4.5,8.3,1.8,2109
"198","FAROE:SORNFELLI:6",4.5,8.3,1.8,2109
"199","FAROE:SORNFELLI:7",4.5,8.3,1.8,2109
"200","FAROE:SORNFELLI:8",4.5,8.3,1.8,2109
"201","FAROE:SORNFELLI:9",4.5,8.3,1.8,2109
"202","FAROE:SORNFELLI:10",4.5,8.3,1.8,2109
"203","SADVENT:MES_COVER:DCUA",-6,4.6,-14.4,264
"204","SADVENT:WET_COVER:WAUA",-6,4.6,-14.4,264
"205","SADVENT:WET_COVER:WBUA",-6,4.6,-14.4,264
"206","SADVENT:WET_COVER:WCUA",-6,4.6,-14.4,264
"207","SADVENT:WET_COVER:WDUA",-6,4.6,-14.4,264
"208","SADVENT:WET_COVER:WFUA",-6,4.6,-14.4,264
"209","BILLEFJORDEN:AWS:51",-7,3.9,-15.7,243
"210","BILLEFJORDEN:AWS:52",-7,3.9,-15.7,243
"211","BILLEFJORDEN:AWS:53",-7,3.9,-15.7,243
"212","BILLEFJORDEN:AWS:54",-7,3.9,-15.7,243
"213","BILLEFJORDEN:AWS:55",-7,3.9,-15.7,243
"214","BILLEFJORDEN:AWS:56",-7,3.9,-15.7,243
"215","BILLEFJORDEN:AWS:57",-7,3.9,-15.7,243
"216","BILLEFJORDEN:AWS:58",-7,3.9,-15.7,243
"217","BILLEFJORDEN:AWS:59",-7,3.9,-15.7,243
"218","BILLEFJORDEN:AWS:60",-7,3.9,-15.7,243
"219","BILLEFJORDEN:AWS:61",-7,3.9,-15.7,243
"220","BILLEFJORDEN:AWS:62",-7,3.9,-15.7,243
"221","BILLEFJORDEN:AWS:63",-7,3.9,-15.7,243
"222","BILLEFJORDEN:AWS:64",-7,3.9,-15.7,243
"223","BILLEFJORDEN:AWS:65",-7,3.9,-15.7,243
"224","BILLEFJORDEN:AWS:66",-7,3.9,-15.7,243
"225","BILLEFJORDEN:AWS:67",-7,3.9,-15.7,243
"226","BILLEFJORDEN:AWS:68",-7,3.9,-15.7,243
"227","BILLEFJORDEN:AWS:69",-7,3.9,-15.7,243
"228","BILLEFJORDEN:AWS:70",-7,3.9,-15.7,243
"229","BILLEFJORDEN:AWS:71",-7,3.9,-15.7,243
"230","BILLEFJORDEN:AWS:72",-7,3.9,-15.7,243
"231","BILLEFJORDEN:AWS:73",-7,3.9,-15.7,243
"232","BILLEFJORDEN:AWS:74",-7,3.9,-15.7,243
"233","BILLEFJORDEN:AWS:75",-7,3.9,-15.7,243
"234","BILLEFJORDEN:AWS:76",-7,3.9,-15.7,243
"235","BILLEFJORDEN:AWS:77",-7,3.9,-15.7,243
"236","BILLEFJORDEN:AWS:78",-7,3.9,-15.7,243
"237","BILLEFJORDEN:AWS:79",-7,3.9,-15.7,243
"238","BILLEFJORDEN:AWS:80",-7,3.9,-15.7,243
"239","BILLEFJORDEN:AWS:81",-7,3.9,-15.7,243
"240","BILLEFJORDEN:AWS:82",-7,3.9,-15.7,243
"241","BILLEFJORDEN:AWS:83",-7,3.9,-15.7,243
"242","BILLEFJORDEN:AWS:84",-7,3.9,-15.7,243
"243","BILLEFJORDEN:AWS:85",-7,3.9,-15.7,243
"244","BILLEFJORDEN:AWS:86",-7,3.9,-15.7,243
"245","BILLEFJORDEN:AWS:87",-7,3.9,-15.7,243
"246","BILLEFJORDEN:AWS:88",-7,3.9,-15.7,243
"247","BILLEFJORDEN:AWS:89",-7,3.9,-15.7,243
"248","BILLEFJORDEN:AWS:90",-7,3.9,-15.7,243
"249","BILLEFJORDEN:AWS:91",-7,3.9,-15.7,243
"250","BILLEFJORDEN:AWS:92",-7,3.9,-15.7,243
"251","BILLEFJORDEN:AWS:93",-7,3.9,-15.7,243
"252","BILLEFJORDEN:AWS:94",-7,3.9,-15.7,243
"253","BILLEFJORDEN:AWS:96",-7,3.9,-15.7,243
"254","BILLEFJORDEN:AWS:97",-7,3.9,-15.7,243
"255","BILLEFJORDEN:AWS:98",-7,3.9,-15.7,243
"256","BILLEFJORDEN:AWS:99",-7,3.9,-15.7,243
"257","BILLEFJORDEN:AWS:100",-7,3.9,-15.7,243
"258","PYRAMIDEN:PYR:1",-6.7,4.2,-15.4,230
"259","PYRAMIDEN:PYR:2",-6.7,4.2,-15.4,230
"260","PYRAMIDEN:PYR:3",-6.7,4.2,-15.4,230
"261","PYRAMIDEN:PYR:4",-6.7,4.2,-15.4,230
"262","PYRAMIDEN:PYR:5",-6.7,4.2,-15.4,230
"263","PYRAMIDEN:PYR:6",-6.7,4.2,-15.4,230
"264","PYRAMIDEN:PYR:8",-6.7,4.2,-15.4,230
"265","PYRAMIDEN:PYR:9",-6.7,4.2,-15.4,230
"266","PYRAMIDEN:PYR:10",-6.7,4.2,-15.4,230
"267","PYRAMIDEN:PYR:11",-6.7,4.2,-15.4,230
"268","PYRAMIDEN:PYR:12",-6.7,4.2,-15.4,230
"269","PYRAMIDEN:PYR:13",-6.7,4.2,-15.4,230
"270","PYRAMIDEN:PYR:15",-6.7,4.2,-15.4,230
"271","PYRAMIDEN:PYR:16",-6.7,4.2,-15.4,230
"272","PYRAMIDEN:PYR:17",-6.7,4.2,-15.4,230
"273","PYRAMIDEN:PYR:18",-6.7,4.2,-15.4,230
"274","PYRAMIDEN:PYR:19",-6.7,4.2,-15.4,230
"275","PYRAMIDEN:PYR:22",-6.7,4.2,-15.4,230
"276","PYRAMIDEN:PYR:23",-6.7,4.2,-15.4,230
"277","PYRAMIDEN:PYR:24",-6.7,4.2,-15.4,230
"278","PYRAMIDEN:PYR:25",-6.7,4.2,-15.4,230
"279","PYRAMIDEN:PYR:26",-6.7,4.2,-15.4,230
"280","PYRAMIDEN:PYR:27",-6.7,4.2,-15.4,230
"281","PYRAMIDEN:PYR:28",-6.7,4.2,-15.4,230
"282","PYRAMIDEN:PYR:29",-6.7,4.2,-15.4,230
"283","PYRAMIDEN:PYR:30",-6.7,4.2,-15.4,230
"284","PYRAMIDEN:PYR:31",-6.7,4.2,-15.4,230
"285","PYRAMIDEN:PYR:32",-6.7,4.2,-15.4,230
"286","PYRAMIDEN:PYR:33",-6.7,4.2,-15.4,230
"287","PYRAMIDEN:PYR:34",-6.7,4.2,-15.4,230
"288","PYRAMIDEN:PYR:35",-6.7,4.2,-15.4,230
"289","PYRAMIDEN:PYR:36",-6.7,4.2,-15.4,230
"290","PYRAMIDEN:PYR:37",-6.7,4.2,-15.4,230
"291","PYRAMIDEN:PYR:38",-6.7,4.2,-15.4,230
"292","PYRAMIDEN:PYR:39",-6.7,4.2,-15.4,230
"293","PYRAMIDEN:PYR:40",-6.7,4.2,-15.4,230
"294","PYRAMIDEN:PYR:41",-6.7,4.2,-15.4,230
"295","PYRAMIDEN:PYR:42",-6.7,4.2,-15.4,230
"296","PYRAMIDEN:PYR:45",-6.7,4.2,-15.4,230
"297","PYRAMIDEN:PYR:47",-6.7,4.2,-15.4,230
"298","PYRAMIDEN:PYR:48",-6.7,4.2,-15.4,230
"299","PYRAMIDEN:PYR:49",-6.7,4.2,-15.4,230
"300","PYRAMIDEN:PYR:50",-6.7,4.2,-15.4,230
"301","FURI:FURI4:FURI4_T1",0.6,11.1,-9,743
"302","FURI:FURI4:FURI4_T10",0.6,11.1,-9,743
"303","FURI:FURI4:FURI4_T11",0.6,11.1,-9,743
"304","FURI:FURI4:FURI4_T12",0.6,11.1,-9,743
"305","FURI:FURI4:FURI4_T13",0.6,11.1,-9,743
"306","FURI:FURI4:FURI4_T14",0.6,11.1,-9,743
"307","FURI:FURI4:FURI4_T15",0.6,11.1,-9,743
"308","FURI:FURI4:FURI4_T16",0.6,11.1,-9,743
"309","FURI:FURI4:FURI4_T17",0.6,11.1,-9,743
"310","FURI:FURI4:FURI4_T18",0.6,11.1,-9,743
"311","FURI:FURI4:FURI4_T19",0.6,11.1,-9,743
