"","SiteSubsitePlot","NbSpeciesPerTrendPlot","TotalSpecies","SiteSubsite","LAT","SurveyedArea","Region","MOISTURE","Duration","PlotGraminoidMean","PlotShrubMean","PlotForbMean","MeanRichness","Extinct","Coloniser","Persisting"
"60","ALEXFIORD:CASSIOPE:Cas.c.c.5new",1,9,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,13.0741941036059,81.399023457847,5.52678243854714,7,0.111111111111111,0.333333333333333,0.555555555555556
"61","ALEXFIORD:CASSIOPE:Cas.c.c.6new",1,8,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,16.4574320050601,75.9972169512967,7.54535104364326,6,0.125,0.125,0.75
"62","ALEXFIORD:CASSIOPE:Cas.c.c.7new",1,7,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,4.43614376763797,88.6893520384971,6.87450419386493,6,0.142857142857143,0.142857142857143,0.714285714285714
"63","ALEXFIORD:CASSIOPE:Cas.c.c.8new",1,7,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,4.89077085379606,89.9811342718906,5.12809487431336,5,0.142857142857143,0.285714285714286,0.571428571428571
"64","ALEXFIORD:CASSIOPE:Cas.c.c.9",2,7,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",19,6.11861861861862,91.1599099099099,2.72147147147147,5,0.285714285714286,0,0.714285714285714
"65","ALEXFIORD:CASSIOPE:Cas.c.c.9new",0,7,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,9.86335111916507,81.2819222121548,8.85472666868016,6,0,0.428571428571429,0.571428571428571
"66","ALEXFIORD:CASSIOPE_COVER:ALL",0,6,"ALEXFIORD:CASSIOPE_COVER",78.87448,0.25,"North America-East","MOIST",26,4.58637200689039,93.8660911175511,1.54753687555851,6,0,0,1
"67","ALEXFIORD:DOMEDOLOMITE:Dom.c.1d",0,1,"ALEXFIORD:DOMEDOLOMITE",78.86221,1,"North America-East","DRY",13,0,100,0,1,0,0,1
"68","ALEXFIORD:DOMEDOLOMITE:Dom.c.2d",1,3,"ALEXFIORD:DOMEDOLOMITE",78.86221,1,"North America-East","DRY",13,0,86.3095238095238,13.6904761904762,3,0.333333333333333,0,0.666666666666667
"69","ALEXFIORD:DOMEDOLOMITE:Dom.c.3d",0,2,"ALEXFIORD:DOMEDOLOMITE",78.86221,1,"North America-East","DRY",13,0,100,0,2,0,0.5,0.5
"70","ALEXFIORD:DOMEDOLOMITE:Dom.c.4d",1,2,"ALEXFIORD:DOMEDOLOMITE",78.86221,1,"North America-East","DRY",13,0,66.6666666666667,33.3333333333333,1,0.5,0.5,0
"71","ALEXFIORD:DOMEDOLOMITE:Dom.c.5d",0,2,"ALEXFIORD:DOMEDOLOMITE",78.86221,1,"North America-East","DRY",13,0,82.2222222222222,17.7777777777778,2,0,0,1
"72","ALEXFIORD:DOMEGRANITE:Dom.c.1g",1,2,"ALEXFIORD:DOMEGRANITE",78.86192,1,"North America-East","DRY",13,2.56410256410256,81.6239316239316,15.8119658119658,2,0.5,0,0.5
"73","ALEXFIORD:DOMEGRANITE:Dom.c.2g",0,1,"ALEXFIORD:DOMEGRANITE",78.86192,1,"North America-East","DRY",13,1.38888888888889,75,23.6111111111111,2,0,0,1
"74","ALEXFIORD:DOMEGRANITE:Dom.c.3g",2,3,"ALEXFIORD:DOMEGRANITE",78.86192,1,"North America-East","DRY",13,8.92857142857143,82.7380952380952,8.33333333333333,2,0.666666666666667,0,0.333333333333333
"75","ALEXFIORD:DOMEGRANITE:Dom.c.4g",1,2,"ALEXFIORD:DOMEGRANITE",78.86192,1,"North America-East","DRY",13,4.44444444444444,50,45.5555555555556,2,0.5,0,0.5
"76","ALEXFIORD:DOMEGRANITE:Dom.c.5g",2,3,"ALEXFIORD:DOMEGRANITE",78.86192,1,"North America-East","DRY",13,3.7037037037037,93.1623931623932,3.13390313390313,2,0.666666666666667,0,0.333333333333333
"77","ALEXFIORD:DRYAS:Dry.c.1",0,11,"ALEXFIORD:DRYAS",78.8719,1,"North America-East","MOIST",24,25.3886383428839,63.8435099857218,10.7678516713943,9,0,0.545454545454545,0.454545454545455
"78","ALEXFIORD:DRYAS:Dry.c.10",4,11,"ALEXFIORD:DRYAS",78.8719,1,"North America-East","MOIST",24,31.8242518351214,64.6792772444946,3.49647092038396,8,0.363636363636364,0.181818181818182,0.454545454545455
"79","ALEXFIORD:DRYAS:Dry.c.2",0,10,"ALEXFIORD:DRYAS",78.8719,1,"North America-East","MOIST",24,41.2566976001107,53.8024344947313,4.94086790515794,7,0,0.3,0.7
"80","ALEXFIORD:DRYAS:Dry.c.3",1,9,"ALEXFIORD:DRYAS",78.8719,1,"North America-East","MOIST",24,11.0061324922838,82.680884753022,6.3129827546942,7,0.111111111111111,0.222222222222222,0.666666666666667
"81","ALEXFIORD:DRYAS:Dry.c.4",0,9,"ALEXFIORD:DRYAS",78.8719,1,"North America-East","MOIST",24,28.6772978369808,67.8788456251428,3.44385653787637,8,0,0.222222222222222,0.777777777777778
"82","ALEXFIORD:DRYAS:Dry.c.5",0,8,"ALEXFIORD:DRYAS",78.8719,1,"North America-East","MOIST",24,44.1316707368275,50.2868614547078,5.58146780846478,8,0,0,1
"83","ALEXFIORD:DRYAS:Dry.c.6",3,14,"ALEXFIORD:DRYAS",78.8719,1,"North America-East","MOIST",24,27.939831608203,70.1309238558452,1.92924453595185,9,0.214285714285714,0.357142857142857,0.428571428571429
"84","ALEXFIORD:DRYAS:Dry.c.7",0,9,"ALEXFIORD:DRYAS",78.8719,1,"North America-East","MOIST",24,48.2568825510002,48.9604872251931,2.78263022380669,9,0,0,1
"85","ALEXFIORD:DRYAS:Dry.c.8",1,8,"ALEXFIORD:DRYAS",78.8719,1,"North America-East","MOIST",24,34.8480623750557,55.5301951647467,9.62174246019761,8,0.125,0.125,0.75
"86","ALEXFIORD:DRYAS:Dry.c.9",2,7,"ALEXFIORD:DRYAS",78.8719,1,"North America-East","MOIST",24,45.6513702513703,52.0722219459062,2.27640780272359,7,0.285714285714286,0,0.714285714285714
"87","ALEXFIORD:FERT:Fert.c.c.13",0,10,"ALEXFIORD:FERT",78.87107,1,"North America-East","MOIST",24,16.2333738632388,78.1885828507306,5.57804328603065,9,0,0.2,0.8
"88","ALEXFIORD:FERT:Fert.c.c.21",1,9,"ALEXFIORD:FERT",78.87107,1,"North America-East","MOIST",24,10.7793320652679,85.2471307846045,3.97353715012766,8,0.111111111111111,0.222222222222222,0.666666666666667
"89","ALEXFIORD:FERT:Fert.c.c.29",3,11,"ALEXFIORD:FERT",78.87107,1,"North America-East","MOIST",24,19.8053682825474,72.9801462835951,7.21448543385743,8,0.272727272727273,0.272727272727273,0.454545454545455
"90","ALEXFIORD:FERT:Fert.c.c.37",1,11,"ALEXFIORD:FERT",78.87107,1,"North America-East","MOIST",24,15.9789963736387,74.5681852693728,9.45281835698848,9,0.0909090909090909,0.0909090909090909,0.818181818181818
"91","ALEXFIORD:FERT:Fert.c.c.5",1,10,"ALEXFIORD:FERT",78.87107,1,"North America-East","MOIST",24,14.9210093393182,83.7145584044609,1.36443225622095,8,0.1,0.2,0.7
"92","ALEXFIORD:MEADOW:Mead.c.1",3,9,"ALEXFIORD:MEADOW",78.87558,1,"North America-East","WET",24,81.7559759740067,15.2595541144134,2.98446991157989,8,0.333333333333333,0,0.666666666666667
"93","ALEXFIORD:MEADOW:Mead.c.10",2,9,"ALEXFIORD:MEADOW",78.87558,1,"North America-East","WET",19,77.0547441405883,13.5209856505096,9.42427020890205,8,0.222222222222222,0,0.777777777777778
"94","ALEXFIORD:MEADOW:Mead.c.2",3,11,"ALEXFIORD:MEADOW",78.87558,1,"North America-East","WET",24,80.9803436345049,16.9802481308428,2.03940823465229,9,0.272727272727273,0.0909090909090909,0.636363636363636
"95","ALEXFIORD:MEADOW:Mead.c.3",3,12,"ALEXFIORD:MEADOW",78.87558,1,"North America-East","WET",24,75.5697218730727,20.6211110650118,3.80916706191546,9,0.25,0.166666666666667,0.583333333333333
"96","ALEXFIORD:MEADOW:Mead.c.4",1,10,"ALEXFIORD:MEADOW",78.87558,1,"North America-East","WET",19,84.3856249150007,13.8417529023404,1.7726221826589,9,0.1,0,0.9
"97","ALEXFIORD:MEADOW:Mead.c.5",2,9,"ALEXFIORD:MEADOW",78.87558,1,"North America-East","WET",19,89.2301955775925,7.363063130744,3.40674129166354,8,0.222222222222222,0.111111111111111,0.666666666666667
"98","ALEXFIORD:MEADOW:Mead.c.6",1,13,"ALEXFIORD:MEADOW",78.87558,1,"North America-East","WET",24,66.7060647179066,14.5729851184111,18.7209501636823,12,0.0769230769230769,0.0769230769230769,0.846153846153846
"99","ALEXFIORD:MEADOW:Mead.c.7",2,9,"ALEXFIORD:MEADOW",78.87558,1,"North America-East","WET",24,70.035789792352,19.8958984617554,10.0683117458926,9,0.222222222222222,0.111111111111111,0.666666666666667
"100","ALEXFIORD:MEADOW:Mead.c.8",3,11,"ALEXFIORD:MEADOW",78.87558,1,"North America-East","WET",19,74.8408796161293,18.2993726584182,6.8597477254525,10,0.272727272727273,0.0909090909090909,0.636363636363636
"101","ALEXFIORD:MEADOW:Mead.c.9",3,10,"ALEXFIORD:MEADOW",78.87558,1,"North America-East","WET",19,78.4906719927659,15.3367456845013,6.17258232273279,8,0.3,0,0.7
"102","ALEXFIORD:WILLOW:Will.c.1",2,8,"ALEXFIORD:WILLOW",78.87421,1,"North America-East","DRY",24,17.1156952681603,69.7067014656983,13.1776032661414,6,0.25,0.125,0.625
"103","ALEXFIORD:WILLOW:Will.c.10",2,7,"ALEXFIORD:WILLOW",78.87421,1,"North America-East","DRY",24,13.067229442726,80.4191714249123,6.51359913236172,6,0.285714285714286,0.285714285714286,0.428571428571429
"104","ALEXFIORD:WILLOW:Will.c.2",0,8,"ALEXFIORD:WILLOW",78.87421,1,"North America-East","DRY",24,15.597004605304,62.4490192287901,21.9539761659059,7,0,0.5,0.5
"105","ALEXFIORD:WILLOW:Will.c.3",1,10,"ALEXFIORD:WILLOW",78.87421,1,"North America-East","DRY",24,9.38517876107063,71.3084163071776,19.3064049317518,8,0.1,0.3,0.6
"106","ALEXFIORD:WILLOW:Will.c.4",1,9,"ALEXFIORD:WILLOW",78.87421,1,"North America-East","DRY",24,19.7257375918699,55.2412494892503,25.0330129188798,8,0.111111111111111,0.333333333333333,0.555555555555556
"107","ALEXFIORD:WILLOW:Will.c.5",0,8,"ALEXFIORD:WILLOW",78.87421,1,"North America-East","DRY",24,26.8723104584213,56.0118048317452,17.1158847098334,7,0,0.5,0.5
"108","ALEXFIORD:WILLOW:Will.c.6",0,7,"ALEXFIORD:WILLOW",78.87421,1,"North America-East","DRY",24,19.7092420474151,57.1458815825119,23.144876370073,7,0,0.285714285714286,0.714285714285714
"109","ALEXFIORD:WILLOW:Will.c.7",2,12,"ALEXFIORD:WILLOW",78.87421,1,"North America-East","DRY",24,13.2964612715339,74.4769349164419,12.2266038120242,8,0.166666666666667,0.25,0.583333333333333
"110","ALEXFIORD:WILLOW:Will.c.8",1,10,"ALEXFIORD:WILLOW",78.87421,1,"North America-East","DRY",24,19.6792724982059,65.1541524021888,15.1665750996053,8,0.1,0.4,0.5
"111","ALEXFIORD:WILLOW:Will.c.9",3,7,"ALEXFIORD:WILLOW",78.87421,1,"North America-East","DRY",24,11.0231316290521,75.1417320962715,13.8351362746764,7,0.428571428571429,0.142857142857143,0.428571428571429
"112","ANWR:ATIGUN-A:1",1,6,"ANWR:ATIGUN-A",68.4746405,1,"North America-West","DRY",10,1.38888888888889,90.6746031746032,7.93650793650794,4,0.166666666666667,0.333333333333333,0.5
"113","ANWR:ATIGUN-A:10",2,6,"ANWR:ATIGUN-A",68.4746405,1,"North America-West","DRY",10,2.53831417624521,95.2705938697318,2.19109195402299,4,0.333333333333333,0.166666666666667,0.5
"114","ANWR:ATIGUN-A:2",0,3,"ANWR:ATIGUN-A",68.4746405,1,"North America-West","DRY",10,0,93.4595779990517,6.54042200094832,3,0,0,1
"115","ANWR:ATIGUN-A:3",0,3,"ANWR:ATIGUN-A",68.4746405,1,"North America-West","DRY",10,1.85185185185185,87.4074074074074,10.7407407407407,3,0,0.333333333333333,0.666666666666667
"116","ANWR:ATIGUN-A:4",2,5,"ANWR:ATIGUN-A",68.4746405,1,"North America-West","DRY",10,3.33333333333333,91.3725490196078,5.29411764705882,3,0.4,0.2,0.4
"117","ANWR:ATIGUN-A:5",1,3,"ANWR:ATIGUN-A",68.4746405,1,"North America-West","DRY",5,0,77.5,22.5,2,0.333333333333333,0,0.666666666666667
"118","ANWR:ATIGUN-A:6",1,4,"ANWR:ATIGUN-A",68.4746405,1,"North America-West","DRY",10,0,98.0524029704358,1.94759702956424,4,0.25,0,0.75
"119","ANWR:ATIGUN-A:7",2,5,"ANWR:ATIGUN-A",68.4746405,1,"North America-West","DRY",10,1.23456790123457,95.9435626102293,2.82186948853616,3,0.4,0.4,0.2
"120","ANWR:ATIGUN-A:8",3,8,"ANWR:ATIGUN-A",68.4746405,1,"North America-West","DRY",10,1.58119658119658,85.0272776868522,13.3915257319513,7,0.375,0,0.625
"121","ANWR:ATIGUN-A:9",2,5,"ANWR:ATIGUN-A",68.4746405,1,"North America-West","DRY",10,1.38888888888889,93.1306306306306,5.48048048048048,4,0.4,0,0.6
"122","ANWR:ATIGUN-B:1",1,5,"ANWR:ATIGUN-B",68.4759725,1,"North America-West","MOIST",10,70.2072676896846,17.2341219096334,12.558610400682,5,0.2,0,0.8
"123","ANWR:ATIGUN-B:10",2,6,"ANWR:ATIGUN-B",68.4759725,1,"North America-West","MOIST",5,22.9946524064171,73.2620320855615,3.74331550802139,4,0.333333333333333,0.166666666666667,0.5
"124","ANWR:ATIGUN-B:2",0,5,"ANWR:ATIGUN-B",68.4759725,1,"North America-West","MOIST",10,44.7919155714855,37.5836320191159,17.6244524093986,4,0,0.4,0.6
"125","ANWR:ATIGUN-B:3",2,6,"ANWR:ATIGUN-B",68.4759725,1,"North America-West","MOIST",10,67.5595238095238,13.7896825396825,18.6507936507936,4,0.333333333333333,0.166666666666667,0.5
"126","ANWR:ATIGUN-B:4",1,6,"ANWR:ATIGUN-B",68.4759725,1,"North America-West","MOIST",10,50.589406610912,34.5280764635603,14.8825169255277,5,0.166666666666667,0.166666666666667,0.666666666666667
"127","ANWR:ATIGUN-B:5",1,7,"ANWR:ATIGUN-B",68.4759725,1,"North America-West","MOIST",10,53.8483305036785,36.7044811442095,9.44718835211195,5,0.142857142857143,0.285714285714286,0.571428571428571
