"","SiteSubsitePlot","LAT","LONG","mat","warmq","coldq","prec","ID","WarmQSlope","PrecSlope"
"67","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB31.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"68","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB08.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"69","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB08.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"70","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB09.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"71","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB09.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"72","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB10.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"73","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB10.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"74","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB11.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"75","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB11.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"76","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB12.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"77","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC12.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"78","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC12.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"79","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB13.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"80","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB14.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"81","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB14.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"82","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB03.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"83","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB03.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"84","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC03.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"85","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC16.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"86","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC16.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"87","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC17.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"88","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC17.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"89","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB18.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"90","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB18.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"91","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB31.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"92","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB32.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"93","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB32.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"94","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB33.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"95","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB33.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"96","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB34.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"97","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC00.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"98","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC01.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"99","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC01.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"100","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC02.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"101","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC02.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"102","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC15.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"103","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC28.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"104","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB17.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"105","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC10.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"106","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC10.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"107","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC11.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"108","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC31.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"109","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC08.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"110","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC08.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"111","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC09.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"112","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC09.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"113","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC26.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"114","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC27.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"115","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC14.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"116","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC15.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"117","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC11.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"118","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC25.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"119","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC26.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"120","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC14.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"121","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC34.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"122","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC28.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"123","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB16.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"124","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB17.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"125","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC33.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"126","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB26.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"127","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB26.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"128","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC27.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"129","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC24.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"130","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC32.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"131","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC32.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"132","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB15.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"133","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC25.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"134","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB25.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"135","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB25.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"136","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB27.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"137","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB15.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"138","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB24.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"139","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB27.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"140","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB16.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"141","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB06.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"142","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC06.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"143","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB04.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"144","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB05.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"145","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC22.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"146","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB07.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"147","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC05.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"148","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC07.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"149","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB07.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"150","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC06.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"151","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB05.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"152","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB06.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"153","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC20.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"154","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC21.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"155","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC22.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"156","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB22.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"157","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC23.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"158","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC07.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"159","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC19.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"160","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC21.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"161","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC23.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"162","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC19.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"163","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC20.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"164","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC04.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"165","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB22.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"166","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC05.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"167","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC04.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"168","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB23.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"169","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB20.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"170","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB21.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"171","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB04.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"172","BARROW:CAREX_WET_MEADOW_MICROTOPO:BC24.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"173","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB19.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"174","BARROW:CAREX_WET_MEADOW_MICROTOPO:AB23.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
