"","SiteSubsitePlotYear","SiteSubsitePlot","SiteSubsite","SITE","SUBSITE","PLOT","YEAR","STATUS","TISSUE","ValueType","ORIGINAL_NAME","GENUS","GFNARROWwalker","SPECIES_NAME","TREATMENT","RelCover","MOISTURE","LAT","LONG","ELEV","AZONE","SurveyedArea","AlpArc","lat_grid","lon_grid","gridcell","Region","Method","FuncGroup","PlotYearFuncCover","PlotYearDominatingFG","ShrubCover","GraminoidCover","ForbCover","DominatingFG","PlotShrubMean","PlotForbMean","PlotGraminoidMean","AnnualRichness","MeanRichness","NumYears","Duration","LogPlotSize","YearCentred","Slope"
"11","ATQASUK:RATE_CAREX_ WET_MEADOW:22:2000","ATQASUK:RATE_CAREX_ WET_MEADOW:22","ATQASUK:RATE_CAREX_ WET_MEADOW","ATQASUK","RATE_CAREX_ WET_MEADOW","22",2000,"LIVE",NA,"percent_cover","Dryas integrifolia","Dryas","SEVER","Dryas integrifolia","CTL",0.423217724358296,"WET",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",4.86700383012041,"None",4.86700383012041,85.476014135472,9.6569820344076,"Graminoid-Dominated",15.4010338712795,12.181702387581,72.4172637411395,17,17,2,9,0,-3,5.58255096420903e-16
"12","ATQASUK:RATE_DRYAS_HEATH:5:2009","ATQASUK:RATE_DRYAS_HEATH:5","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","5",2009,"LIVE",NA,"percent_cover","Minuartia arctica","Minuartia","FORB","Minuartia arctica","CTL",6.40547879597753,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",32.3759532534416,"None",0,67.6240467465584,32.3759532534416,"Graminoid-Dominated",0,34.0954069638856,65.9045930361144,18,19,2,9,0,6,-0.222222222222241
"13","ATQASUK:RATE_DRYAS_HEATH:16:2000","ATQASUK:RATE_DRYAS_HEATH:16","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","16",2000,"LIVE",NA,"percent_cover","Luzula confusa","Luzula","RUSH","Luzula confusa","CTL",0.0717877666466857,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",29.6823271679606,"None",57.4993688658849,29.6823271679606,12.8183039661545,"Shrub-Dominated",65.9349896166452,9.09809716500716,24.9669132183477,20,19,2,9,0,-3,-0.222222222222225
"14","ATQASUK:RATE_DRYAS_HEATH:19:2000","ATQASUK:RATE_DRYAS_HEATH:19","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","19",2000,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",26.2741415619554,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",50.5206575175337,"Shrub-Dominated",50.5206575175337,40.1705652436903,9.30877723877592,"Shrub-Dominated",52.6999451980178,16.3495623308557,30.9504924711265,17,16,2,9,0,-3,-0.222222222222225
"15","ATQASUK:RATE_DRYAS_HEATH:1:2000","ATQASUK:RATE_DRYAS_HEATH:1","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","1",2000,"LIVE",NA,"percent_cover","Luzula confusa","Luzula","RUSH","Luzula confusa","CTL",0.0388453601526288,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",21.8678551475535,"None",76.0812184947378,21.8678551475535,2.05092635770872,"Shrub-Dominated",69.8981334060363,12.1850792128132,17.9167873811506,21,18,2,9,0,-3,-0.777777777777785
"16","ATQASUK:RATE_DRYAS_HEATH:17:2000","ATQASUK:RATE_DRYAS_HEATH:17","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","17",2000,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",6.40928183251801,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",39.5190355670426,"None",39.5190355670426,54.8515282410844,5.62943619187303,"Graminoid-Dominated",47.870046911464,9.34178975812362,42.7881633304123,20,18,2,9,0,-3,-0.444444444444448
"17","ATQASUK:RATE_DRYAS_HEATH:14:2009","ATQASUK:RATE_DRYAS_HEATH:14","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","14",2009,"LIVE",NA,"percent_cover","Bromus pumpellianus","Bromus","GRASS","Bromus pumpellianus","CTL",3.03797852908675,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",32.911180900229,"None",63.2913459384126,32.911180900229,3.79747316135843,"Shrub-Dominated",69.1224695258523,6.09828249576386,24.7792479783839,10,14,2,9,0,6,-0.777777777777841
"18","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:46:2000","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:46","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW","ATQASUK","RATE_ERIOPHORUM_WET_MEADOW","46",2000,"LIVE",NA,"percent_cover","Salix pulchra","Salix","SDECI","Salix pulchra","CTL",0.209614309670207,"WET",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",0.209614309670207,"None",0.209614309670207,98.951928451649,0.838457238680827,"Graminoid-Dominated",0.104807154835103,7.60679911336252,92.2883937318024,5,6,2,9,0,-3,0.111111111111112
"19","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:45:2009","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:45","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW","ATQASUK","RATE_ERIOPHORUM_WET_MEADOW","45",2009,"LIVE",NA,"percent_cover","Eriophorum vaginatum","Eriophorum","SEDGE","Eriophorum vaginatum","CTL",0.40551500405515,"WET",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",88.6455798864558,"Graminoid-Dominated",6.4882400648824,88.6455798864558,4.8661800486618,"Graminoid-Dominated",5.09883409735619,2.51036977703569,92.3907961256081,5,5,2,9,0,6,0
"20","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:13:2000","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:13","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW","ATQASUK","RATE_ERIOPHORUM_WET_MEADOW","13",2000,"LIVE",NA,"percent_cover","Cardamine pratensis","Cardamine","FORB","Cardamine pratensis","CTL",0.511084137226091,"WET",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",2.35098703124002,"None",0,97.64901296876,2.35098703124002,"Graminoid-Dominated",0,11.2952483284177,88.7047516715823,7,8,2,9,0,-3,0.111111111111112
"21","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:55:2000","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:55","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","55",2000,"LIVE",NA,"percent_cover","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",7.3392614058733,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",53.8673455483467,"Graminoid-Dominated",40.9460631743115,53.8673455483467,5.18659127734179,"Graminoid-Dominated",39.1585197232123,9.3845342070349,51.4569460697528,11,10,2,9,0,-3,-0.111111111111112
"22","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:24:2000","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:24","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","24",2000,"LIVE",NA,"percent_cover","Poa arctica","Poa","GRASS","Poa arctica","CTL",0.0727601967906972,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",34.603636918982,"None",44.4446989778665,34.603636918982,20.9516641031515,"None",41.4050926855734,27.5672036498958,31.0277036645308,20,20,2,9,0,-3,0
"23","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:32:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:32","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","32",2009,"LIVE",NA,"percent_cover","Rubus chamaemorus","Rubus","FORB","Rubus chamaemorus","CTL",0.668486313655151,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",0.668486313655151,"None",55.9931373313577,43.3383763549871,0.668486313655151,"Shrub-Dominated",42.3940515642784,0.490285055737453,57.1156633799841,9,8,2,9,0,6,0.11111111111112
"24","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:38:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:38","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","38",2009,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",9.17098849499493,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",78.743024316876,"Shrub-Dominated",78.743024316876,13.2979333177427,7.95904236538135,"Shrub-Dominated",80.9337884648088,5.72433149049311,13.3418800446981,9,10,2,9,0,6,-0.333333333333361
"25","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:59:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:59","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","59",2009,"LIVE",NA,"percent_cover","Polygonum viviparum","Polygonum","FORB","Polygonum viviparum","CTL",0.739757772699909,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",19.4473178278516,"None",63.8869001767185,16.6657819954299,19.4473178278516,"Shrub-Dominated",76.8156849692496,12.8005523707244,10.383762660026,19,18,2,9,0,6,0.22222222222224
"26","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:51:2000","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:51","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","51",2000,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",13.7057623881776,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",49.6850349949684,"None",49.6850349949684,43.3591876969174,6.95577730811418,"None",56.5540124668574,8.02854953022245,35.4174380029202,10,10,2,9,0,-3,0
"27","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:8:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:8","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","8",2009,"LIVE",NA,"percent_cover","Vaccinium vitis-idaea","Vaccinium","SEVER","Vaccinium vitis-idaea","CTL",12.9327068155365,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",87.1977959532385,"Shrub-Dominated",87.1977959532385,10.8427030141045,1.95950103265704,"Shrub-Dominated",83.4423700506142,1.69124108907843,14.8663888603073,11,10,2,9,0,6,0.33333333333336
"28","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:53:2000","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:53","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","53",2000,"LIVE",NA,"percent_cover","Artemisia arctica","Artemisia","FORB","Artemisia arctica","CTL",0.306295912481048,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",4.33357666841936,"None",70.3459612331473,25.3204620984333,4.33357666841936,"Shrub-Dominated",68.3828687952217,8.70060362108106,22.9165275836972,10,10,2,9,0,-3,-0.111111111111112
"29","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:49:2000","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:49","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","49",2000,"LIVE",NA,"percent_cover","Rubus chamaemorus","Rubus","FORB","Rubus chamaemorus","CTL",0.343471466107953,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",1.10847609516658,"None",42.9512629601932,55.9402609446402,1.10847609516658,"Graminoid-Dominated",50.9193670623939,2.12656807482573,46.9540648627803,11,11,2,9,0,-3,2.79127548210452e-16
"30","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:58:2000","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:58","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","58",2000,"LIVE",NA,"percent_cover","Poa arctica","Poa","GRASS","Poa arctica","CTL",0.141948026581755,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",12.2463672661037,"None",64.3157423768232,12.2463672661037,23.4378903570731,"Shrub-Dominated",63.4624257550229,22.2299749676603,14.3075992773168,18,16,2,9,0,-3,-0.333333333333336
"31","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:28:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:28","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","28",2009,"LIVE",NA,"percent_cover","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",1.48041470561065,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",11.1919351744165,"None",79.5870945736287,11.1919351744165,9.22097025195474,"Shrub-Dominated",84.4205603340663,6.72578797472694,8.85365169120678,8,9,2,9,0,6,-0.22222222222224
"32","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:25:2000","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:25","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","25",2000,"LIVE",NA,"percent_cover","Salix phlebophylla","Salix","SDECI","Salix phlebophylla","CTL",1.0306807904291,"DRY",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",80.9084420486842,"Shrub-Dominated",80.9084420486842,17.7856853898421,1.30587256147367,"Shrub-Dominated",73.7099880314858,3.44333279595119,22.846679172563,11,11,2,9,0,-3,2.79127548210452e-16
"33","BARROW:ARCTOPHILA_POND_ORDINATION:21:2008","BARROW:ARCTOPHILA_POND_ORDINATION:21","BARROW:ARCTOPHILA_POND_ORDINATION","BARROW","ARCTOPHILA_POND_ORDINATION","21",2008,"LIVE",NA,"percent_cover","Dupontia fisheri","Dupontia","GRASS","Dupontia fisheri","CTL",17.8537511870845,"WET",71.29,-156.64,9,"HIGH",1,"Arctic",71,-156.5,"_71_-156.5","North America-West","Cover","Graminoid",62.3931623931624,"Graminoid-Dominated",0,62.3931623931624,37.6068376068376,"Graminoid-Dominated",0,33.3091805730638,66.6908194269362,5,5,2,9,0,5,0
"34","BARROW:CAREX WET MEADOW_ORDINATION:16:1999","BARROW:CAREX WET MEADOW_ORDINATION:16","BARROW:CAREX WET MEADOW_ORDINATION","BARROW","CAREX WET MEADOW_ORDINATION","16",1999,"LIVE",NA,"percent_cover","Carex aquatilis","Carex","SEDGE","Carex aquatilis","CTL",69.0442225392297,"WET",71.29,-156.64,9,"HIGH",1,"Arctic",71,-156.5,"_71_-156.5","North America-West","Cover","Graminoid",100,"Graminoid-Dominated",0,100,0,"Graminoid-Dominated",0,0,100,3,3,2,9,0,-4,6.97818870526129e-17
"35","BARROW:CAREX WET MEADOW_ORDINATION:12:2008","BARROW:CAREX WET MEADOW_ORDINATION:12","BARROW:CAREX WET MEADOW_ORDINATION","BARROW","CAREX WET MEADOW_ORDINATION","12",2008,"LIVE",NA,"percent_cover","Carex aquatilis","Carex","SEDGE","Carex aquatilis","CTL",77.8723404255319,"WET",71.29,-156.64,9,"HIGH",1,"Arctic",71,-156.5,"_71_-156.5","North America-West","Cover","Graminoid",100,"Graminoid-Dominated",0,100,0,"Graminoid-Dominated",0,0,100,2,2,2,9,0,5,-6.97818870526129e-17
"36","BARROW:CAREX_MESIC MEADOW_ORDINATION:17:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:17","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","17",2008,"LIVE",NA,"percent_cover","Salix rotundifolia","Salix","SDECI","Salix rotundifolia","CTL",1.19817876827223,"MOIST",71.29,-156.64,9,"HIGH",1,"Arctic",71,-156.5,"_71_-156.5","North America-West","Cover","Shrub",1.19817876827223,"None",1.19817876827223,97.4358974358974,1.36592379583034,"Graminoid-Dominated",1.6993204326563,1.60165482342953,96.6990247439142,8,8,2,9,0,5,-0.111111111111112
"37","BARROW:CAREX_MESIC MEADOW_ORDINATION:20:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:20","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","20",2008,"LIVE",NA,"percent_cover","Stellaria edwardsii","Stellaria","FORB","Stellaria edwardsii","CTL",1.13973102347846,"MOIST",71.29,-156.64,9,"HIGH",1,"Arctic",71,-156.5,"_71_-156.5","North America-West","Cover","Forb",43.4009573740597,"None",0,56.5990426259403,43.4009573740597,"Graminoid-Dominated",0,29.4189714039393,70.5810285960607,15,13,2,9,0,5,0.444444444444449
"38","BARROW:CAREX_MESIC MEADOW_ORDINATION:19:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:19","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","19",2008,"LIVE",NA,"percent_cover","Pedicularis kanei","Pedicularis","FORB","Pedicularis kanei","CTL",0.97143967359627,"MOIST",71.29,-156.64,9,"HIGH",1,"Arctic",71,-156.5,"_71_-156.5","North America-West","Cover","Forb",30.1146298814844,"None",2.91431902078881,66.9710510977268,30.1146298814844,"Graminoid-Dominated",1.4571595103944,25.2730378198129,73.2698026697927,12,10,2,9,0,5,0.444444444444448
"39","BARROW:CAREX_MESIC MEADOW_ORDINATION:24:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:24","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","24",2008,"LIVE",NA,"percent_cover","Eriophorum angustifolium","Eriophorum","SEDGE","Eriophorum angustifolium","CTL",1.46584579302257,"MOIST",71.29,-156.64,9,"HIGH",1,"Arctic",71,-156.5,"_71_-156.5","North America-West","Cover","Graminoid",89.152741131633,"Graminoid-Dominated",0,89.152741131633,10.847258868367,"Graminoid-Dominated",0,20.0847361326214,79.9152638673786,7,9,2,9,0,5,-0.444444444444449
"40","BARROW:CAREX_MESIC MEADOW_ORDINATION:4:1999","BARROW:CAREX_MESIC MEADOW_ORDINATION:4","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","4",1999,"LIVE",NA,"percent_cover","Saxifraga foliolosa","Saxifraga","FORB","Saxifraga foliolosa","CTL",0.544188071397475,"MOIST",71.29,-156.64,9,"HIGH",1,"Arctic",71,-156.5,"_71_-156.5","North America-West","Cover","Forb",6.27993034392686,"None",17.1963430561602,76.5237265999129,6.27993034392686,"Graminoid-Dominated",14.3321164822085,11.3624422361836,74.3054412816078,11,10,2,9,0,-4,-0.111111111111112
"41","BARROW:CAREX_MESIC MEADOW_ORDINATION:22:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:22","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","22",2008,"LIVE",NA,"percent_cover","Luzula arctica","Luzula","RUSH","Luzula arctica","CTL",17.583807716635,"MOIST",71.29,-156.64,9,"HIGH",1,"Arctic",71,-156.5,"_71_-156.5","North America-West","Cover","Graminoid",73.5610373181531,"Graminoid-Dominated",0,73.5610373181531,26.4389626818469,"Graminoid-Dominated",0,20.1571639115174,79.8428360884826,8,9,2,9,0,5,-0.222222222222225
