"","SiteSubsitePlotYear","SiteSubsitePlot","YEAR","LAT","LONG","SiteSubsite","RelCover","MOISTURE","SurveyedArea","Region","PlotShrubMean","PlotGraminoidMean","PlotForbMean","AnnualRichness","MeanRichness","Duration","LogPlotSize","Shannon","PilouEvenness"
"20","ABISKO:ABISKOWET_FLUX:2_CTL:2012","ABISKO:ABISKOWET_FLUX:2_CTL",2012,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",13.4146341463415,"",0.0484,"Eurasia",41.270800367259,54.8623105440653,3.86688908867566,9,9,6,-3.02825546525955,1.78089914844851,0.810522131792082
"21","ABISKO:ABISKOWET_FLUX:3_CTL:2006","ABISKO:ABISKOWET_FLUX:3_CTL",2006,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",29.4642857142857,"",0.0484,"Eurasia",62.8289993052924,32.432667594774,4.73833309993355,7,8,6,-3.02825546525955,1.7353010082586,0.89176831165665
"22","ABISKO:ABISKOWET_FLUX:3_CTL:2007","ABISKO:ABISKOWET_FLUX:3_CTL",2007,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",23.9130434782609,"",0.0484,"Eurasia",62.8289993052924,32.432667594774,4.73833309993355,6,8,6,-3.02825546525955,1.51813028590457,0.847284645052625
"23","ABISKO:ABISKOWET_FLUX:3_CTL:2010","ABISKO:ABISKOWET_FLUX:3_CTL",2010,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",20.5128205128205,"",0.0484,"Eurasia",62.8289993052924,32.432667594774,4.73833309993355,7,8,6,-3.02825546525955,1.76079916152626,0.904871770354391
"24","ABISKO:ABISKOWET_FLUX:3_CTL:2012","ABISKO:ABISKOWET_FLUX:3_CTL",2012,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",32.183908045977,"",0.0484,"Eurasia",62.8289993052924,32.432667594774,4.73833309993355,10,8,6,-3.02825546525955,1.73217918194598,0.752275860386828
"25","ABISKO:ABISKOWET_FLUX:4_CTL:2006","ABISKO:ABISKOWET_FLUX:4_CTL",2006,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",6.14525139664804,"",0.0484,"Eurasia",75.5813934181541,19.9112007293121,4.50740585253382,12,10,6,-3.02825546525955,1.82455438004842,0.734254697336048
"26","ABISKO:ABISKOWET_FLUX:4_CTL:2007","ABISKO:ABISKOWET_FLUX:4_CTL",2007,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",5.73770491803279,"",0.0484,"Eurasia",75.5813934181541,19.9112007293121,4.50740585253382,9,10,6,-3.02825546525955,1.66781903656937,0.759057155000209
"27","ABISKO:ABISKOWET_FLUX:4_CTL:2010","ABISKO:ABISKOWET_FLUX:4_CTL",2010,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",5.73770491803279,"",0.0484,"Eurasia",75.5813934181541,19.9112007293121,4.50740585253382,10,10,6,-3.02825546525955,1.58754221893949,0.689460825473864
"28","ABISKO:ABISKOWET_FLUX:4_CTL:2012","ABISKO:ABISKOWET_FLUX:4_CTL",2012,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",12.9770992366412,"",0.0484,"Eurasia",75.5813934181541,19.9112007293121,4.50740585253382,10,10,6,-3.02825546525955,1.75743186351398,0.76324296064507
"29","ABISKO:ABISKOWET_FLUX:5_CTL:2006","ABISKO:ABISKOWET_FLUX:5_CTL",2006,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",8.16326530612245,"",0.0484,"Eurasia",69.9650370576219,25.1913845127083,4.84357842966976,9,8,6,-3.02825546525955,1.78630845381379,0.812984012758222
"30","ABISKO:ABISKOWET_FLUX:5_CTL:2007","ABISKO:ABISKOWET_FLUX:5_CTL",2007,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",3.4965034965035,"",0.0484,"Eurasia",69.9650370576219,25.1913845127083,4.84357842966976,8,8,6,-3.02825546525955,1.47484182058563,0.709248993551512
"31","ABISKO:ABISKOWET_FLUX:5_CTL:2010","ABISKO:ABISKOWET_FLUX:5_CTL",2010,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",5.37634408602151,"",0.0484,"Eurasia",69.9650370576219,25.1913845127083,4.84357842966976,8,8,6,-3.02825546525955,1.67451889373,0.805273367953048
"32","ABISKO:ABISKOWET_FLUX:5_CTL:2012","ABISKO:ABISKOWET_FLUX:5_CTL",2012,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",9.91735537190083,"",0.0484,"Eurasia",69.9650370576219,25.1913845127083,4.84357842966976,7,8,6,-3.02825546525955,1.68987793680352,0.868425470530542
"33","ABISKO:ABISKOWET_FLUX:6_CTL:2006","ABISKO:ABISKOWET_FLUX:6_CTL",2006,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",18.2389937106918,"",0.0484,"Eurasia",77.6582548931152,17.7156141428912,4.62613096399358,11,10,6,-3.02825546525955,1.94687433310671,0.811909658937978
"34","ABISKO:ABISKOWET_FLUX:6_CTL:2007","ABISKO:ABISKOWET_FLUX:6_CTL",2007,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",13.0252100840336,"",0.0484,"Eurasia",77.6582548931152,17.7156141428912,4.62613096399358,10,10,6,-3.02825546525955,1.92295330340773,0.835128008627608
"35","ABISKO:ABISKOWET_FLUX:6_CTL:2010","ABISKO:ABISKOWET_FLUX:6_CTL",2010,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",4.31034482758621,"",0.0484,"Eurasia",77.6582548931152,17.7156141428912,4.62613096399358,9,10,6,-3.02825546525955,1.65227619684568,0.75198330379537
"36","ABISKO:ABISKOWET_FLUX:6_CTL:2012","ABISKO:ABISKOWET_FLUX:6_CTL",2012,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",7.31707317073171,"",0.0484,"Eurasia",77.6582548931152,17.7156141428912,4.62613096399358,12,10,6,-3.02825546525955,1.91811994087613,0.771908248963706
"37","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1:1999","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1",1999,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",6.95652173913043,"WET",0.25,"Eurasia",46.9992337022047,45.1636412503184,7.8371250474769,12,12,9,-1.38629436111989,2.03239965632732,0.8178977896416
"38","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1:2005","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1",2005,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",1.85185185185185,"WET",0.25,"Eurasia",46.9992337022047,45.1636412503184,7.8371250474769,12,12,9,-1.38629436111989,2.06933262305922,0.832760708832168
"39","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1:2007","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1",2007,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",1.94174757281553,"WET",0.25,"Eurasia",46.9992337022047,45.1636412503184,7.8371250474769,12,12,9,-1.38629436111989,1.99305478701326,0.802064249449086
"40","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1",2008,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",5.88235294117647,"WET",0.25,"Eurasia",46.9992337022047,45.1636412503184,7.8371250474769,11,12,9,-1.38629436111989,2.043452663669,0.852185951092131
"41","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2:1999","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2",1999,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",1.8348623853211,"WET",0.25,"Eurasia",46.3621621400267,43.0378854017347,10.5999524582386,11,10,9,-1.38629436111989,1.96088429664393,0.817752267535668
"42","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2:2005","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2",2005,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",1.81818181818182,"WET",0.25,"Eurasia",46.3621621400267,43.0378854017347,10.5999524582386,11,10,9,-1.38629436111989,1.98846815539174,0.829255630113975
"43","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2:2007","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2",2007,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",1.06382978723404,"WET",0.25,"Eurasia",46.3621621400267,43.0378854017347,10.5999524582386,11,10,9,-1.38629436111989,2.05757277005913,0.858074492827168
"44","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2",2008,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",2.1978021978022,"WET",0.25,"Eurasia",46.3621621400267,43.0378854017347,10.5999524582386,9,10,9,-1.38629436111989,1.94615928521707,0.885735261334313
"45","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3:1999","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3",1999,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",5.18518518518519,"WET",0.25,"Eurasia",69.5525606115715,26.5511245785288,3.8963148098997,10,9,9,-1.38629436111989,2.05032303569191,0.890443980520123
"46","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3:2005","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3",2005,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",3.1496062992126,"WET",0.25,"Eurasia",69.5525606115715,26.5511245785288,3.8963148098997,9,9,9,-1.38629436111989,1.96420462028003,0.893948047250278
"47","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3:2007","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3",2007,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",5.61797752808989,"WET",0.25,"Eurasia",69.5525606115715,26.5511245785288,3.8963148098997,9,9,9,-1.38629436111989,2.03388789930052,0.925662274252494
"48","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3",2008,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",8.33333333333333,"WET",0.25,"Eurasia",69.5525606115715,26.5511245785288,3.8963148098997,9,9,9,-1.38629436111989,2.00440885834067,0.912245784529998
"49","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4:1999","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4",1999,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",30.2752293577982,"WET",0.25,"Eurasia",73.1809824608689,24.5801802362018,2.23883730292933,8,10,9,-1.38629436111989,1.6415412700569,0.789414483241886
"50","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4:2005","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4",2005,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",29.559748427673,"WET",0.25,"Eurasia",73.1809824608689,24.5801802362018,2.23883730292933,12,10,9,-1.38629436111989,1.88190162965874,0.757332928309116
"51","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4:2007","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4",2007,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",40.2684563758389,"WET",0.25,"Eurasia",73.1809824608689,24.5801802362018,2.23883730292933,10,10,9,-1.38629436111989,1.7679595311517,0.767815068607445
"52","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4",2008,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",45.6140350877193,"WET",0.25,"Eurasia",73.1809824608689,24.5801802362018,2.23883730292933,10,10,9,-1.38629436111989,1.65523747164762,0.718860500176052
"53","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5:1999","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5",1999,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",18.6046511627907,"WET",0.25,"Eurasia",86.0862307160949,10.0020803793966,3.91168890450857,9,9,9,-1.38629436111989,1.86636540111974,0.849419499659161
"54","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5:2005","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5",2005,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",32.4561403508772,"WET",0.25,"Eurasia",86.0862307160949,10.0020803793966,3.91168890450857,9,9,9,-1.38629436111989,1.79733907554478,0.818004265055038
"55","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5:2007","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5",2007,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",34.6534653465347,"WET",0.25,"Eurasia",86.0862307160949,10.0020803793966,3.91168890450857,9,9,9,-1.38629436111989,1.64138768297917,0.747027727574886
"56","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5",2008,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",30.5263157894737,"WET",0.25,"Eurasia",86.0862307160949,10.0020803793966,3.91168890450857,10,9,9,-1.38629436111989,1.89023026308651,0.820916572785002
"57","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6:1999","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6",1999,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",36.5217391304348,"WET",0.25,"Eurasia",72.5730924780979,26.3862323585561,1.04067516334597,13,10,9,-1.38629436111989,1.71703200248919,0.669421404946759
"58","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6:2005","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6",2005,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",41.8367346938776,"WET",0.25,"Eurasia",72.5730924780979,26.3862323585561,1.04067516334597,9,10,9,-1.38629436111989,1.6426619911175,0.747607690202049
"59","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6:2007","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6",2007,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",34.0909090909091,"WET",0.25,"Eurasia",72.5730924780979,26.3862323585561,1.04067516334597,10,10,9,-1.38629436111989,1.92986691966277,0.838130554017165
"60","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6:2008","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6",2008,68.20462,18.49582,"ABISKO:ABISKOWET_MULTE",30.3921568627451,"WET",0.25,"Eurasia",72.5730924780979,26.3862323585561,1.04067516334597,10,10,9,-1.38629436111989,1.9469809391118,0.845563078227065
"61","ABISKO:PEATLAND:AA1:2000","ABISKO:PEATLAND:AA1",2000,68.358087,18.812886,"ABISKO:PEATLAND",4.29594272076372,"MOIST",0.25,"Eurasia",91.488568927823,2.05397366492043,6.45745740725654,9,8,13,-1.38629436111989,1.78334698628509,0.81163619080172
"62","ABISKO:PEATLAND:AA1:2002","ABISKO:PEATLAND:AA1",2002,68.358087,18.812886,"ABISKO:PEATLAND",3.54166666666667,"MOIST",0.25,"Eurasia",91.488568927823,2.05397366492043,6.45745740725654,9,8,13,-1.38629436111989,1.78946835309767,0.81442214489841
"63","ABISKO:PEATLAND:AA1:2004","ABISKO:PEATLAND:AA1",2004,68.358087,18.812886,"ABISKO:PEATLAND",5.74468085106383,"MOIST",0.25,"Eurasia",91.488568927823,2.05397366492043,6.45745740725654,8,8,13,-1.38629436111989,1.75683077068397,0.844857013515634
"64","ABISKO:PEATLAND:AA1:2006","ABISKO:PEATLAND:AA1",2006,68.358087,18.812886,"ABISKO:PEATLAND",7.49354005167959,"MOIST",0.25,"Eurasia",91.488568927823,2.05397366492043,6.45745740725654,9,8,13,-1.38629436111989,1.86278090692215,0.847788126046027
"65","ABISKO:PEATLAND:AA1:2008","ABISKO:PEATLAND:AA1",2008,68.358087,18.812886,"ABISKO:PEATLAND",6.11764705882353,"MOIST",0.25,"Eurasia",91.488568927823,2.05397366492043,6.45745740725654,8,8,13,-1.38629436111989,1.83018897362827,0.880134852047723
"66","ABISKO:PEATLAND:AA1:2013","ABISKO:PEATLAND:AA1",2013,68.358087,18.812886,"ABISKO:PEATLAND",9.76430976430976,"MOIST",0.25,"Eurasia",91.488568927823,2.05397366492043,6.45745740725654,8,8,13,-1.38629436111989,1.60562666934497,0.772143211127685
"67","ABISKO:PEATLAND:AA2:2000","ABISKO:PEATLAND:AA2",2000,68.358087,18.812886,"ABISKO:PEATLAND",6.20525059665871,"MOIST",0.25,"Eurasia",84.3236951897887,4.93213912834086,10.7441656818704,8,8,13,-1.38629436111989,1.71181127375873,0.82320721186318
"68","ABISKO:PEATLAND:AA2:2002","ABISKO:PEATLAND:AA2",2002,68.358087,18.812886,"ABISKO:PEATLAND",4.93827160493827,"MOIST",0.25,"Eurasia",84.3236951897887,4.93213912834086,10.7441656818704,9,8,13,-1.38629436111989,1.5887404629906,0.723066945171666
"69","ABISKO:PEATLAND:AA2:2004","ABISKO:PEATLAND:AA2",2004,68.358087,18.812886,"ABISKO:PEATLAND",7.32860520094563,"MOIST",0.25,"Eurasia",84.3236951897887,4.93213912834086,10.7441656818704,7,8,13,-1.38629436111989,1.76668843144463,0.907898256403213
"70","ABISKO:PEATLAND:AA2:2006","ABISKO:PEATLAND:AA2",2006,68.358087,18.812886,"ABISKO:PEATLAND",5.55555555555556,"MOIST",0.25,"Eurasia",84.3236951897887,4.93213912834086,10.7441656818704,9,8,13,-1.38629436111989,1.67397597371044,0.761859297851051
"71","ABISKO:PEATLAND:AA2:2008","ABISKO:PEATLAND:AA2",2008,68.358087,18.812886,"ABISKO:PEATLAND",3.92156862745098,"MOIST",0.25,"Eurasia",84.3236951897887,4.93213912834086,10.7441656818704,8,8,13,-1.38629436111989,1.67636228689752,0.80615985268011
"72","ABISKO:PEATLAND:AA2:2013","ABISKO:PEATLAND:AA2",2013,68.358087,18.812886,"ABISKO:PEATLAND",4.05405405405405,"MOIST",0.25,"Eurasia",84.3236951897887,4.93213912834086,10.7441656818704,8,8,13,-1.38629436111989,1.37424453575161,0.660871925565868
"73","ABISKO:PEATLAND:AA3:2000","ABISKO:PEATLAND:AA3",2000,68.358087,18.812886,"ABISKO:PEATLAND",5.48780487804878,"MOIST",0.25,"Eurasia",87.71792558206,1.42752260316524,10.8545518147748,9,9,13,-1.38629436111989,1.72245966826555,0.783925178168976
"74","ABISKO:PEATLAND:AA3:2002","ABISKO:PEATLAND:AA3",2002,68.358087,18.812886,"ABISKO:PEATLAND",4.84429065743945,"MOIST",0.25,"Eurasia",87.71792558206,1.42752260316524,10.8545518147748,9,9,13,-1.38629436111989,1.77779460135864,0.809109191521026
"75","ABISKO:PEATLAND:AA3:2004","ABISKO:PEATLAND:AA3",2004,68.358087,18.812886,"ABISKO:PEATLAND",6.19469026548673,"MOIST",0.25,"Eurasia",87.71792558206,1.42752260316524,10.8545518147748,8,9,13,-1.38629436111989,1.83756161351842,0.883680342383648
"76","ABISKO:PEATLAND:AA3:2006","ABISKO:PEATLAND:AA3",2006,68.358087,18.812886,"ABISKO:PEATLAND",5.90277777777778,"MOIST",0.25,"Eurasia",87.71792558206,1.42752260316524,10.8545518147748,8,9,13,-1.38629436111989,1.76113343614866,0.84692615822514
"77","ABISKO:PEATLAND:AA3:2008","ABISKO:PEATLAND:AA3",2008,68.358087,18.812886,"ABISKO:PEATLAND",4.73815461346633,"MOIST",0.25,"Eurasia",87.71792558206,1.42752260316524,10.8545518147748,9,9,13,-1.38629436111989,1.77801005482528,0.809207248619451
"78","ABISKO:PEATLAND:AA3:2013","ABISKO:PEATLAND:AA3",2013,68.358087,18.812886,"ABISKO:PEATLAND",12.568306010929,"MOIST",0.25,"Eurasia",87.71792558206,1.42752260316524,10.8545518147748,9,9,13,-1.38629436111989,1.75244029464175,0.797569949252207
"79","ABISKO:PEATLAND:AA4:2000","ABISKO:PEATLAND:AA4",2000,68.358087,18.812886,"ABISKO:PEATLAND",2.51396648044693,"MOIST",0.25,"Eurasia",83.1948095089526,3.78101245191419,13.0241780391332,9,8,13,-1.38629436111989,1.65057605573936,0.751209536232484
"80","ABISKO:PEATLAND:AA4:2002","ABISKO:PEATLAND:AA4",2002,68.358087,18.812886,"ABISKO:PEATLAND",1.80722891566265,"MOIST",0.25,"Eurasia",83.1948095089526,3.78101245191419,13.0241780391332,8,8,13,-1.38629436111989,1.64534438284131,0.791243393893222
"81","ABISKO:PEATLAND:AA4:2004","ABISKO:PEATLAND:AA4",2004,68.358087,18.812886,"ABISKO:PEATLAND",3.69230769230769,"MOIST",0.25,"Eurasia",83.1948095089526,3.78101245191419,13.0241780391332,7,8,13,-1.38629436111989,1.64154100093643,0.843585199313214
"82","ABISKO:PEATLAND:AA4:2006","ABISKO:PEATLAND:AA4",2006,68.358087,18.812886,"ABISKO:PEATLAND",3.26797385620915,"MOIST",0.25,"Eurasia",83.1948095089526,3.78101245191419,13.0241780391332,8,8,13,-1.38629436111989,1.56606358394327,0.753117388757252
