"","SiteSubsitePlotYear","SiteSubsitePlot","SiteSubsite","SITE","SUBSITE","PLOT","YEAR","ValueType","MOISTURE","LAT","LONG","ELEV","AZONE","SurveyedArea","AlpArc","lat_grid","lon_grid","gridcell","Region","Method","ShrubCover","GraminoidCover","ForbCover","DominatingFG","PlotShrubMean","PlotForbMean","PlotGraminoidMean","AnnualRichness","MeanRichness","CurrentRichness"
"11","ATQASUK:RATE_CAREX_ WET_MEADOW:22:2009","ATQASUK:RATE_CAREX_ WET_MEADOW:22","ATQASUK:RATE_CAREX_ WET_MEADOW","ATQASUK","RATE_CAREX_ WET_MEADOW","22",2009,"percent_cover","WET",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",25.9350639124386,59.358513346807,14.7064227407544,"Graminoid-Dominated",15.4010338712795,12.181702387581,72.4172637411395,17,17,17
"12","ATQASUK:RATE_CAREX_ WET_MEADOW:19:2000","ATQASUK:RATE_CAREX_ WET_MEADOW:19","ATQASUK:RATE_CAREX_ WET_MEADOW","ATQASUK","RATE_CAREX_ WET_MEADOW","19",2000,"percent_cover","WET",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",100,0,0,"Shrub-Dominated",100,0,0,1,1,1
"13","ATQASUK:RATE_DRYAS_HEATH:5:2009","ATQASUK:RATE_DRYAS_HEATH:5","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","5",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",0,67.6240467465584,32.3759532534416,"Graminoid-Dominated",0,34.0954069638856,65.9045930361144,18,19,18
"14","ATQASUK:RATE_DRYAS_HEATH:17:2009","ATQASUK:RATE_DRYAS_HEATH:17","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","17",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",56.2210582558855,30.7247984197403,13.0541433243742,"Shrub-Dominated",47.870046911464,9.34178975812362,42.7881633304123,16,18,16
"15","ATQASUK:RATE_DRYAS_HEATH:14:2009","ATQASUK:RATE_DRYAS_HEATH:14","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","14",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",63.2913459384126,32.911180900229,3.79747316135843,"Shrub-Dominated",69.1224695258523,6.09828249576386,24.7792479783839,10,14,10
"16","ATQASUK:RATE_DRYAS_HEATH:1:2009","ATQASUK:RATE_DRYAS_HEATH:1","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","1",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",63.7150483173347,13.9657196147476,22.3192320679176,"Shrub-Dominated",69.8981334060363,12.1850792128132,17.9167873811506,14,18,14
"17","ATQASUK:RATE_DRYAS_HEATH:19:2009","ATQASUK:RATE_DRYAS_HEATH:19","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","19",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",54.8792328785018,21.7304196985626,23.3903474229355,"Shrub-Dominated",52.6999451980178,16.3495623308557,30.9504924711265,15,16,15
"18","ATQASUK:RATE_DRYAS_HEATH:16:2009","ATQASUK:RATE_DRYAS_HEATH:16","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","16",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",74.3706103674054,20.2514992687347,5.37789036385987,"Shrub-Dominated",65.9349896166452,9.09809716500716,24.9669132183477,18,19,18
"19","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:45:2009","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:45","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW","ATQASUK","RATE_ERIOPHORUM_WET_MEADOW","45",2009,"percent_cover","WET",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",6.4882400648824,88.6455798864558,4.8661800486618,"Graminoid-Dominated",5.09883409735619,2.51036977703569,92.3907961256081,5,5,5
"20","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:46:2009","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:46","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW","ATQASUK","RATE_ERIOPHORUM_WET_MEADOW","46",2009,"percent_cover","WET",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",0,85.6248590119558,14.3751409880442,"Graminoid-Dominated",0.104807154835103,7.60679911336252,92.2883937318024,6,6,6
"21","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:13:2009","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:13","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW","ATQASUK","RATE_ERIOPHORUM_WET_MEADOW","13",2009,"percent_cover","WET",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",0,79.7604903744046,20.2395096255954,"Graminoid-Dominated",0,11.2952483284177,88.7047516715823,8,8,8
"22","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:32:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:32","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","32",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",55.9931373313577,43.3383763549871,0.668486313655151,"Shrub-Dominated",42.3940515642784,0.490285055737453,57.1156633799841,9,8,9
"23","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:38:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:38","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","38",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",78.743024316876,13.2979333177427,7.95904236538135,"Shrub-Dominated",80.9337884648088,5.72433149049311,13.3418800446981,9,10,9
"24","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:55:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:55","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","55",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",37.370976272113,49.0465465911589,13.582477136728,"None",39.1585197232123,9.3845342070349,51.4569460697528,10,10,10
"25","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:59:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:59","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","59",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",63.8869001767185,16.6657819954299,19.4473178278516,"Shrub-Dominated",76.8156849692496,12.8005523707244,10.383762660026,19,18,19
"26","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:8:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:8","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","8",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",87.1977959532385,10.8427030141045,1.95950103265704,"Shrub-Dominated",83.4423700506142,1.69124108907843,14.8663888603073,11,10,11
"27","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:28:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:28","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","28",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",79.5870945736287,11.1919351744165,9.22097025195474,"Shrub-Dominated",84.4205603340663,6.72578797472694,8.85365169120678,8,9,8
"28","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:51:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:51","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","51",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",63.4229899387464,27.4756883089229,9.10132175233071,"Shrub-Dominated",56.5540124668574,8.02854953022245,35.4174380029202,10,10,10
"29","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:25:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:25","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","25",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",66.5115340142874,27.9076729552839,5.5807930304287,"Shrub-Dominated",73.7099880314858,3.44333279595119,22.846679172563,11,11,11
"30","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:58:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:58","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","58",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",62.6091091332226,16.3688312885299,21.0220595782475,"Shrub-Dominated",63.4624257550229,22.2299749676603,14.3075992773168,15,16,15
"31","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:24:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:24","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","24",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",38.3654863932803,27.4517704100796,34.1827431966401,"None",41.4050926855734,27.5672036498958,31.0277036645308,20,20,20
"32","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:49:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:49","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","49",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",58.8874711645946,37.9678687809205,3.14466005448488,"Shrub-Dominated",50.9193670623939,2.12656807482573,46.9540648627803,11,11,11
"33","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:53:2009","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:53","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","ATQASUK","RATE_HIEROCHLOE_DRY_MEADOW","53",2009,"percent_cover","DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",66.4197763572961,20.5125930689611,13.0676305737428,"Shrub-Dominated",68.3828687952217,8.70060362108106,22.9165275836972,9,10,9
"34","BARROW:ARCTOPHILA_POND_ORDINATION:21:2008","BARROW:ARCTOPHILA_POND_ORDINATION:21","BARROW:ARCTOPHILA_POND_ORDINATION","BARROW","ARCTOPHILA_POND_ORDINATION","21",2008,"percent_cover","WET",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",0,62.3931623931624,37.6068376068376,"Graminoid-Dominated",0,33.3091805730638,66.6908194269362,5,5,5
"35","BARROW:CAREX WET MEADOW_ORDINATION:16:2008","BARROW:CAREX WET MEADOW_ORDINATION:16","BARROW:CAREX WET MEADOW_ORDINATION","BARROW","CAREX WET MEADOW_ORDINATION","16",2008,"percent_cover","WET",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",0,100,0,"Graminoid-Dominated",0,0,100,3,3,3
"36","BARROW:CAREX WET MEADOW_ORDINATION:12:2008","BARROW:CAREX WET MEADOW_ORDINATION:12","BARROW:CAREX WET MEADOW_ORDINATION","BARROW","CAREX WET MEADOW_ORDINATION","12",2008,"percent_cover","WET",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",0,100,0,"Graminoid-Dominated",0,0,100,2,2,2
"37","BARROW:CAREX_MESIC MEADOW_ORDINATION:17:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:17","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","17",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",1.19817876827223,97.4358974358974,1.36592379583034,"Graminoid-Dominated",1.6993204326563,1.60165482342953,96.6990247439142,8,8,8
"38","BARROW:CAREX_MESIC MEADOW_ORDINATION:20:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:20","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","20",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",0,56.5990426259403,43.4009573740597,"Graminoid-Dominated",0,29.4189714039393,70.5810285960607,15,13,15
"39","BARROW:CAREX_MESIC MEADOW_ORDINATION:19:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:19","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","19",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",2.91431902078881,66.9710510977268,30.1146298814844,"Graminoid-Dominated",1.4571595103944,25.2730378198129,73.2698026697927,12,10,12
"40","BARROW:CAREX_MESIC MEADOW_ORDINATION:24:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:24","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","24",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",0,89.152741131633,10.847258868367,"Graminoid-Dominated",0,20.0847361326214,79.9152638673786,7,9,7
"41","BARROW:CAREX_MESIC MEADOW_ORDINATION:22:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:22","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","22",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",0,73.5610373181531,26.4389626818469,"Graminoid-Dominated",0,20.1571639115174,79.8428360884826,8,9,8
"42","BARROW:CAREX_MESIC MEADOW_ORDINATION:23:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:23","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","23",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",0,100,0,"Graminoid-Dominated",0,0.89541547277937,99.1045845272206,6,6,6
"43","BARROW:CAREX_MESIC MEADOW_ORDINATION:18:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:18","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","18",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",29.0670417252696,38.9592123769339,31.9737458977965,"None",39.4145247570528,18.9617755884482,41.623699654499,14,12,14
"44","BARROW:CAREX_MESIC MEADOW_ORDINATION:4:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:4","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","4",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",11.4678899082569,72.0871559633027,16.4449541284404,"Graminoid-Dominated",14.3321164822085,11.3624422361836,74.3054412816078,10,10,10
"45","BARROW:CAREX_MESIC MEADOW_ORDINATION:6:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:6","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","6",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",0,100,0,"Graminoid-Dominated",0,0,100,3,4,3
"46","BARROW:CAREX_MESIC MEADOW_ORDINATION:3:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:3","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","3",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",0,82.6419797044686,17.3580202955314,"Graminoid-Dominated",0,10.6592463864749,89.3407536135251,8,8,8
"47","BARROW:CAREX_MESIC MEADOW_ORDINATION:13:2008","BARROW:CAREX_MESIC MEADOW_ORDINATION:13","BARROW:CAREX_MESIC MEADOW_ORDINATION","BARROW","CAREX_MESIC MEADOW_ORDINATION","13",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",0,100,0,"Graminoid-Dominated",0,0,100,2,2,2
"48","BARROW:CAREX_MOIST MEADOW_ORDINATION:2:2008","BARROW:CAREX_MOIST MEADOW_ORDINATION:2","BARROW:CAREX_MOIST MEADOW_ORDINATION","BARROW","CAREX_MOIST MEADOW_ORDINATION","2",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",20.4071499503476,63.5054617676266,16.0873882820258,"Graminoid-Dominated",18.9427443806115,13.8735417657515,67.183713853637,11,12,11
"49","BARROW:CAREX_MOIST MEADOW_ORDINATION:9:2008","BARROW:CAREX_MOIST MEADOW_ORDINATION:9","BARROW:CAREX_MOIST MEADOW_ORDINATION","BARROW","CAREX_MOIST MEADOW_ORDINATION","9",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",51.3268711266487,37.3430796122676,11.3300492610837,"Shrub-Dominated",32.8768593943952,12.5994137708134,54.5237268347914,11,12,11
"50","BARROW:CAREX_MOIST MEADOW_ORDINATION:14:2008","BARROW:CAREX_MOIST MEADOW_ORDINATION:14","BARROW:CAREX_MOIST MEADOW_ORDINATION","BARROW","CAREX_MOIST MEADOW_ORDINATION","14",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",55.9254327563249,38.9036839769197,5.17088326675544,"Shrub-Dominated",47.8529770091638,3.60617914648996,48.5408438443462,9,10,9
"51","BARROW:CAREX_MOIST MEADOW_ORDINATION:1:2008","BARROW:CAREX_MOIST MEADOW_ORDINATION:1","BARROW:CAREX_MOIST MEADOW_ORDINATION","BARROW","CAREX_MOIST MEADOW_ORDINATION","1",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",27.3529041199446,49.5149300743354,23.13216580572,"None",19.0263617004035,18.218416672412,62.7552216271845,15,14,15
"52","BARROW:CAREX_MOIST MEADOW_ORDINATION:15:2008","BARROW:CAREX_MOIST MEADOW_ORDINATION:15","BARROW:CAREX_MOIST MEADOW_ORDINATION","BARROW","CAREX_MOIST MEADOW_ORDINATION","15",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",0,78.3059636992221,21.6940363007779,"Graminoid-Dominated",0,13.5536070026261,86.4463929973739,10,10,10
"53","BARROW:CAREX_MOIST MEADOW_ORDINATION:8:2008","BARROW:CAREX_MOIST MEADOW_ORDINATION:8","BARROW:CAREX_MOIST MEADOW_ORDINATION","BARROW","CAREX_MOIST MEADOW_ORDINATION","8",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",39.5367903258865,60.4632096741135,0,"Graminoid-Dominated",30.9293339726666,2.93378038558257,66.1368856417508,6,10,6
"54","BARROW:CAREX_MOIST MEADOW_ORDINATION:5:2008","BARROW:CAREX_MOIST MEADOW_ORDINATION:5","BARROW:CAREX_MOIST MEADOW_ORDINATION","BARROW","CAREX_MOIST MEADOW_ORDINATION","5",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","1","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",0,100,0,"Graminoid-Dominated",0,0,100,4,4,4
"55","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB01.5:2008","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB01.5","BARROW:CAREX_MOIST_MEADOW_MICROTOPO","BARROW","CAREX_MOIST_MEADOW_MICROTOPO","AB01.5",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","0.5","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",0,87.5,12.5,"Graminoid-Dominated",0,19.4575471698113,80.5424528301887,8,8,8
"56","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB00.5:2008","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB00.5","BARROW:CAREX_MOIST_MEADOW_MICROTOPO","BARROW","CAREX_MOIST_MEADOW_MICROTOPO","AB00.5",2008,"percent_cover","MOIST",71.29,-156.64,9,"HIGH","0.5","Arctic",71,-156.5,"_71_-156.5","North America-West","Cover",0,71.0144927536232,28.9855072463768,"Graminoid-Dominated",0,26.9927536231884,73.0072463768116,9,8,9
