"","SPECIES_NAME","TimesInTrend","PropInTrend","FuncGroup"
"127","Carex atrofusca",4,57.1428571428571,"Graminoid"
"128","Carex rariflora",3,23.0769230769231,"Graminoid"
"129","Draba nivalis",3,42.8571428571429,"Forb"
"130","Salix alaxensis",3,42.8571428571429,"Shrub"
"131","Pedicularis sudetica",3,15.7894736842105,"Forb"
"132","Anemone parviflora",3,50,"Forb"
"133","Arctophila fulva",3,75,"Graminoid"
"134","Calamagrostis stricta",3,23.0769230769231,"Graminoid"
"135","Alopecurus magellanicus",3,75,"Graminoid"
"136","XXXGRAMINOID:KANGER",3,100,"Graminoid"
"137","Carex supina",3,75,"Graminoid"
"138","Eriophorum triste",3,37.5,"Graminoid"
"139","Carex microchaeta",3,37.5,"Graminoid"
"140","XXXPedicularis:TOOLIK",3,13.6363636363636,"Forb"
"141","Festuca altaica",3,42.8571428571429,"Graminoid"
"142","Carex amblyorhyncha",3,42.8571428571429,"Graminoid"
"143","Eriophorum scheuchzeri",2,25,"Graminoid"
"144","Caltha palustris",2,66.6666666666667,"Forb"
"145","Bromus pumpellianus",2,100,"Graminoid"
"146","Salix niphoclada",2,100,"Shrub"
"147","Carex maritima",2,100,"Graminoid"
"148","Poa lanata",2,100,"Graminoid"
"149","Carex obtusata",2,100,"Graminoid"
"150","Antennaria friesiana",2,33.3333333333333,"Forb"
"151","Pedicularis kanei",2,15.3846153846154,"Forb"
"152","Eutrema edwardsii",2,25,"Forb"
"153","Diphasiastrum alpinum",2,10.5263157894737,"Forb"
"154","Juniperus communis",2,8.69565217391304,"Shrub"
"155","Rhodiola rosea",2,13.3333333333333,"Forb"
"156","XXXTaraxacum:SWEDEN",2,22.2222222222222,"Forb"
"157","Luzula spicata",2,8,"Graminoid"
"158","Poa pratensis",2,8.33333333333333,"Graminoid"
"159","Pinguicula villosa",2,40,"Forb"
"160","Carex nardina",2,100,"Graminoid"
"161","XXXAntennaria:ANWR",2,28.5714285714286,"Forb"
"162","Cerastium arcticum",2,25,"Forb"
"163","Salix ovalifolia",1,100,"Shrub"
"164","Comarum palustre",1,50,"Forb"
"165","Carex chordorrhiza",1,50,"Graminoid"
"166","Juncus albescens",1,50,"Graminoid"
"167","Achillea lanulosa",1,100,"Forb"
"168","Erigeron eriocephalus",1,100,"Forb"
"169","Koeleria asiatica",1,100,"Graminoid"
"170","Androsace septentrionalis",1,100,"Forb"
"171","Bupleurum americanum",1,100,"Forb"
"172","Carex scirpoidea",1,100,"Graminoid"
"173","Ranunculus pallasii",1,100,"Forb"
"174","Papaver hultenii",1,100,"Forb"
"175","Rumex arcticus",1,100,"Forb"
"176","Vahlodea atropurpurea",1,9.09090909090909,"Graminoid"
"177","Salix myrsinites",1,20,"Shrub"
"178","Deschampsia alpina",1,8.33333333333333,"Graminoid"
"179","Antennaria alpina",1,20,"Forb"
"180","XXXCarex microchaeta&rupestris:WOLFCREEK",1,33.3333333333333,"Graminoid"
"181","Linnaea borealis",1,16.6666666666667,"Shrub"
"182","Pyrola minor",1,33.3333333333333,"Forb"
"183","Festuca vivipara",1,12.5,"Graminoid"
"184","Salix hastata",1,20,"Shrub"
"185","Taraxacum croceum",1,50,"Forb"
"186","Ranunculus acris",1,14.2857142857143,"Forb"
"187","Astragalus frigidus",1,25,"Forb"
"188","Stellaria crassipes",1,25,"Forb"
"189","Harrimanella hypnoides",1,50,"Shrub"
"190","Lesquerella arctica",1,100,"Forb"
"191","XXXLuzula:ZACKENBERG",1,14.2857142857143,"Graminoid"
"192","XXXDryas:ZACKENBERG",1,16.6666666666667,"Shrub"
"193","XXXEriophorum:TOOLIK",1,16.6666666666667,"Graminoid"
"194","Salix fuscescens",1,25,"Shrub"
"195","Lagotis glauca",1,25,"Forb"
"196","Epilobium latifolium",1,100,"Forb"
"197","XXXCarex:TOOLIK",1,50,"Graminoid"
"198","Ranunculus lapponicus",1,50,"Forb"
"199","Pyrola secunda",1,12.5,"Forb"
"200","Boykinia richardsonii",1,100,"Forb"
"201","XXXLuzula:ANWR",1,20,"Graminoid"
"202","Potentilla fruticosa",1,50,"Forb"
"203","XXXDraba:ENDALEN",1,50,"Forb"
"204","Cochlearia officinalis",1,7.69230769230769,"Forb"
"205","Carex subspathacea",1,11.1111111111111,"Graminoid"
"206","Ranunculus pygmaeus",1,50,"Forb"
"207","Draba micropetala",1,25,"Forb"
"208","Stellaria humifusa",1,16.6666666666667,"Forb"
"209","XXXDraba:BYLOT",1,33.3333333333333,"Forb"
"210","Cerastium alpinum",1,5.26315789473684,"Forb"
"211","XXXDraba:ALEXFIORD",1,10,"Forb"
"212","Pedicularis hirsuta",1,4.76190476190476,"Forb"
"213","Alopecurus borealis",1,12.5,"Graminoid"
"214","Galium verum",1,20,"Forb"
"215","Avenella flexuosa",1,25,"Graminoid"
"216","XXXothergram:QHI",1,14.2857142857143,"Graminoid"
"217","XXXcarex:QHI",1,50,"Graminoid"
