"","SiteSubsitePlotYear","SiteSubsitePlot","SiteSubsite","SITE","SUBSITE","PLOT","YEAR","STATUS","TISSUE","ValueType","ORIGINAL_NAME","GENUS","GFNARROWwalker","SPECIES_NAME","TREATMENT","RelCover","MOISTURE","LAT","LONG","ELEV","AZONE","SurveyedArea","AlpArc","lat_grid","lon_grid","gridcell","Region","Method","FuncGroup","PlotYearFuncCover","PlotYearDominatingFG","ShrubCover","GraminoidCover","ForbCover","DominatingFG","PlotShrubMean","PlotForbMean","PlotGraminoidMean","AnnualRichness","MeanRichness","Richness","Duration"
"1149","THUFUVER:PALSA:PALSA2_13:1989","THUFUVER:PALSA:PALSA2_13","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_13",1989,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",6.66666666666667,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",6.66666666666667,"None",80,6.66666666666667,13.3333333333333,"Shrub-Dominated",57.3692741367683,8.57018043992025,34.0605454233114,8,7,8,23
"1150","THUFUVER:PALSA:PALSA2_13:1990","THUFUVER:PALSA:PALSA2_13","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_13",1990,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",37.9310344827586,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",37.9310344827586,"None",55.1724137931034,37.9310344827586,6.89655172413793,"Shrub-Dominated",57.3692741367683,8.57018043992025,34.0605454233114,6,7,6,23
"1151","THUFUVER:PALSA:PALSA2_13:2007","THUFUVER:PALSA:PALSA2_13","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_13",2007,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",57.8313253012048,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",59.0361445783132,"Graminoid-Dominated",37.3493975903614,59.0361445783132,3.6144578313253,"Graminoid-Dominated",57.3692741367683,8.57018043992025,34.0605454233114,8,7,8,23
"1152","THUFUVER:PALSA:PALSA2_14:1984","THUFUVER:PALSA:PALSA2_14","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_14",1984,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",38.4615384615385,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",38.4615384615385,"None",53.8461538461538,38.4615384615385,7.69230769230769,"Shrub-Dominated",55.3757388425239,3.99654109331529,40.6277200641608,7,6,7,23
"1153","THUFUVER:PALSA:PALSA2_14:1985","THUFUVER:PALSA:PALSA2_14","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_14",1985,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",30.2325581395349,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",32.5581395348837,"None",67.4418604651163,32.5581395348837,0,"Shrub-Dominated",55.3757388425239,3.99654109331529,40.6277200641608,6,6,6,23
"1154","THUFUVER:PALSA:PALSA2_14:1987","THUFUVER:PALSA:PALSA2_14","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_14",1987,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",27.2727272727273,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",29.5454545454545,"None",68.1818181818182,29.5454545454545,2.27272727272727,"Shrub-Dominated",55.3757388425239,3.99654109331529,40.6277200641608,7,6,7,23
"1155","THUFUVER:PALSA:PALSA2_14:1988","THUFUVER:PALSA:PALSA2_14","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_14",1988,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",38.8888888888889,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",38.8888888888889,"None",55.5555555555556,38.8888888888889,5.55555555555556,"Shrub-Dominated",55.3757388425239,3.99654109331529,40.6277200641608,6,6,6,23
"1156","THUFUVER:PALSA:PALSA2_14:1989","THUFUVER:PALSA:PALSA2_14","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_14",1989,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",41.9354838709677,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",41.9354838709677,"None",48.3870967741935,41.9354838709677,9.67741935483871,"None",55.3757388425239,3.99654109331529,40.6277200641608,7,6,7,23
"1157","THUFUVER:PALSA:PALSA2_14:2007","THUFUVER:PALSA:PALSA2_14","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_14",2007,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",72.4489795918367,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",72.4489795918367,"Graminoid-Dominated",27.5510204081633,72.4489795918367,0,"Graminoid-Dominated",55.3757388425239,3.99654109331529,40.6277200641608,5,6,5,23
"1158","THUFUVER:PALSA:PALSA2_15:1984","THUFUVER:PALSA:PALSA2_15","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_15",1984,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",39.6551724137931,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",39.6551724137931,"None",56.8965517241379,39.6551724137931,3.44827586206897,"Shrub-Dominated",59.1374961429408,3.16226100708859,37.7002428499706,5,6,5,23
"1159","THUFUVER:PALSA:PALSA2_15:1988","THUFUVER:PALSA:PALSA2_15","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_15",1988,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",37.5,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",37.5,"None",57.5,37.5,5,"Shrub-Dominated",59.1374961429408,3.16226100708859,37.7002428499706,6,6,6,23
"1160","THUFUVER:PALSA:PALSA2_15:1989","THUFUVER:PALSA:PALSA2_15","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_15",1989,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",31.5789473684211,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",31.5789473684211,"None",68.4210526315789,31.5789473684211,0,"Shrub-Dominated",59.1374961429408,3.16226100708859,37.7002428499706,5,6,5,23
"1161","THUFUVER:PALSA:PALSA2_15:2007","THUFUVER:PALSA:PALSA2_15","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_15",2007,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",37.5,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",53.4090909090909,"Graminoid-Dominated",39.7727272727273,53.4090909090909,6.81818181818182,"Graminoid-Dominated",59.1374961429408,3.16226100708859,37.7002428499706,11,6,11,23
"1162","THUFUVER:PALSA:PALSA2_16:1984","THUFUVER:PALSA:PALSA2_16","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_16",1984,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",15.5555555555556,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",15.5555555555556,"None",68.8888888888889,15.5555555555556,15.5555555555556,"Shrub-Dominated",75.835931643998,8.56110461312325,15.6029637428787,6,7,6,23
"1163","THUFUVER:PALSA:PALSA2_16:1985","THUFUVER:PALSA:PALSA2_16","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_16",1985,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",5.26315789473684,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",5.26315789473684,"None",94.7368421052632,5.26315789473684,0,"Shrub-Dominated",75.835931643998,8.56110461312325,15.6029637428787,4,7,4,23
"1164","THUFUVER:PALSA:PALSA2_16:1987","THUFUVER:PALSA:PALSA2_16","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_16",1987,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",22.8571428571429,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",25.7142857142857,"None",60,25.7142857142857,14.2857142857143,"Shrub-Dominated",75.835931643998,8.56110461312325,15.6029637428787,7,7,7,23
"1165","THUFUVER:PALSA:PALSA2_16:1988","THUFUVER:PALSA:PALSA2_16","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_16",1988,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",4.34782608695652,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",10.8695652173913,"None",84.7826086956522,10.8695652173913,4.34782608695652,"Shrub-Dominated",75.835931643998,8.56110461312325,15.6029637428787,7,7,7,23
"1166","THUFUVER:PALSA:PALSA2_16:1989","THUFUVER:PALSA:PALSA2_16","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_16",1989,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",31.25,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",31.25,"None",59.375,31.25,9.375,"Shrub-Dominated",75.835931643998,8.56110461312325,15.6029637428787,5,7,5,23
"1167","THUFUVER:PALSA:PALSA2_17:1984","THUFUVER:PALSA:PALSA2_17","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_17",1984,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",1.96078431372549,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",7.84313725490196,"None",90.1960784313725,7.84313725490196,1.96078431372549,"Shrub-Dominated",87.2861402733955,3.9682139089402,8.74564581766428,6,7,6,23
"1168","THUFUVER:PALSA:PALSA2_17:1988","THUFUVER:PALSA:PALSA2_17","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_17",1988,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",2.5,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",7.5,"None",90,7.5,2.5,"Shrub-Dominated",87.2861402733955,3.9682139089402,8.74564581766428,8,7,8,23
"1169","THUFUVER:PALSA:PALSA2_17:2007","THUFUVER:PALSA:PALSA2_17","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_17",2007,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",20.4081632653061,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",24.4897959183673,"None",69.3877551020408,24.4897959183673,6.12244897959184,"Shrub-Dominated",87.2861402733955,3.9682139089402,8.74564581766428,8,7,8,23
"1170","THUFUVER:PALSA:PALSA2_18:2007","THUFUVER:PALSA:PALSA2_18","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_18",2007,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",17.1875,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",28.125,"None",62.5,28.125,9.375,"Shrub-Dominated",81.9503335010854,8.88593705792954,9.16372944098508,11,8,11,23
"1171","THUFUVER:PALSA:PALSA2_19:1990","THUFUVER:PALSA:PALSA2_19","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_19",1990,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",4.16666666666667,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",12.5,"None",70.8333333333333,12.5,16.6666666666667,"Shrub-Dominated",79.9749574525955,8.25418524666645,11.770857300738,9,8,9,23
"1172","THUFUVER:PALSA:PALSA2_19:2007","THUFUVER:PALSA:PALSA2_19","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_19",2007,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",25.3968253968254,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",34.9206349206349,"None",47.6190476190476,34.9206349206349,17.4603174603175,"None",79.9749574525955,8.25418524666645,11.770857300738,14,8,14,23
"1173","THUFUVER:PALSA:PALSA2_2:1984","THUFUVER:PALSA:PALSA2_2","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_2",1984,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",15.3846153846154,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",23.0769230769231,"None",69.2307692307692,23.0769230769231,7.69230769230769,"Shrub-Dominated",67.1759231417559,10.9158090284609,21.9082678297832,7,9,7,23
"1174","THUFUVER:PALSA:PALSA2_2:1985","THUFUVER:PALSA:PALSA2_2","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_2",1985,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",6.25,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",12.5,"None",78.125,12.5,9.375,"Shrub-Dominated",67.1759231417559,10.9158090284609,21.9082678297832,9,9,9,23
"1175","THUFUVER:PALSA:PALSA2_2:1986","THUFUVER:PALSA:PALSA2_2","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_2",1986,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",16.6666666666667,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",16.6666666666667,"None",66.6666666666667,16.6666666666667,16.6666666666667,"Shrub-Dominated",67.1759231417559,10.9158090284609,21.9082678297832,9,9,9,23
"1176","THUFUVER:PALSA:PALSA2_2:1987","THUFUVER:PALSA:PALSA2_2","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_2",1987,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",4,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",20,"None",72,20,8,"Shrub-Dominated",67.1759231417559,10.9158090284609,21.9082678297832,9,9,9,23
"1177","THUFUVER:PALSA:PALSA2_2:1989","THUFUVER:PALSA:PALSA2_2","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_2",1989,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",8.69565217391304,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",21.7391304347826,"None",65.2173913043478,21.7391304347826,13.0434782608696,"Shrub-Dominated",67.1759231417559,10.9158090284609,21.9082678297832,10,9,10,23
"1178","THUFUVER:PALSA:PALSA2_2:2007","THUFUVER:PALSA:PALSA2_2","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_2",2007,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",10.9090909090909,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",45.4545454545455,"None",49.0909090909091,45.4545454545455,5.45454545454545,"None",67.1759231417559,10.9158090284609,21.9082678297832,9,9,9,23
"1179","THUFUVER:PALSA:PALSA2_20:1985","THUFUVER:PALSA:PALSA2_20","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_20",1985,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",3.125,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",6.25,"None",81.25,6.25,12.5,"Shrub-Dominated",65.9123158232585,14.9092136094328,19.1784705673087,9,10,9,23
"1180","THUFUVER:PALSA:PALSA2_20:1988","THUFUVER:PALSA:PALSA2_20","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_20",1988,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",2.27272727272727,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",11.3636363636364,"None",70.4545454545455,11.3636363636364,18.1818181818182,"Shrub-Dominated",65.9123158232585,14.9092136094328,19.1784705673087,12,10,12,23
"1181","THUFUVER:PALSA:PALSA2_20:1990","THUFUVER:PALSA:PALSA2_20","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_20",1990,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",13.0434782608696,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",34.7826086956522,"None",43.4782608695652,34.7826086956522,21.7391304347826,"None",65.9123158232585,14.9092136094328,19.1784705673087,11,10,11,23
"1182","THUFUVER:PALSA:PALSA2_3:1984","THUFUVER:PALSA:PALSA2_3","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_3",1984,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",10.8695652173913,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",28.2608695652174,"None",63.0434782608696,28.2608695652174,8.69565217391304,"Shrub-Dominated",54.7120302528317,11.1662660466831,34.1217037004852,10,9,10,23
"1183","THUFUVER:PALSA:PALSA2_3:1985","THUFUVER:PALSA:PALSA2_3","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_3",1985,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",10.8108108108108,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",32.4324324324324,"None",54.0540540540541,32.4324324324324,13.5135135135135,"Shrub-Dominated",54.7120302528317,11.1662660466831,34.1217037004852,8,9,8,23
"1184","THUFUVER:PALSA:PALSA2_3:1986","THUFUVER:PALSA:PALSA2_3","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_3",1986,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",4.76190476190476,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",26.1904761904762,"None",69.0476190476191,26.1904761904762,4.76190476190476,"Shrub-Dominated",54.7120302528317,11.1662660466831,34.1217037004852,10,9,10,23
"1185","THUFUVER:PALSA:PALSA2_3:1987","THUFUVER:PALSA:PALSA2_3","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_3",1987,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",13.8888888888889,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",33.3333333333333,"None",58.3333333333333,33.3333333333333,8.33333333333333,"Shrub-Dominated",54.7120302528317,11.1662660466831,34.1217037004852,8,9,8,23
"1186","THUFUVER:PALSA:PALSA2_3:1988","THUFUVER:PALSA:PALSA2_3","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_3",1988,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",15.625,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",37.5,"None",46.875,37.5,15.625,"None",54.7120302528317,11.1662660466831,34.1217037004852,10,9,10,23
"1187","THUFUVER:PALSA:PALSA2_3:1989","THUFUVER:PALSA:PALSA2_3","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_3",1989,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",6.89655172413793,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",13.7931034482759,"None",65.5172413793103,13.7931034482759,20.6896551724138,"Shrub-Dominated",54.7120302528317,11.1662660466831,34.1217037004852,9,9,9,23
"1188","THUFUVER:PALSA:PALSA2_3:2007","THUFUVER:PALSA:PALSA2_3","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_3",2007,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",18.4615384615385,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",60,"Graminoid-Dominated",36.9230769230769,60,3.07692307692308,"Graminoid-Dominated",54.7120302528317,11.1662660466831,34.1217037004852,9,9,9,23
"1189","THUFUVER:PALSA:PALSA2_4:1984","THUFUVER:PALSA:PALSA2_4","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_4",1984,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",8.51063829787234,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",21.2765957446809,"None",68.0851063829787,21.2765957446809,10.6382978723404,"Shrub-Dominated",69.4933798913452,5.03063755347899,25.4759825551758,9,8,9,23
"1190","THUFUVER:PALSA:PALSA2_4:1985","THUFUVER:PALSA:PALSA2_4","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_4",1985,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",4.76190476190476,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",16.6666666666667,"None",80.9523809523809,16.6666666666667,2.38095238095238,"Shrub-Dominated",69.4933798913452,5.03063755347899,25.4759825551758,6,8,6,23
"1191","THUFUVER:PALSA:PALSA2_4:1986","THUFUVER:PALSA:PALSA2_4","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_4",1986,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",4.16666666666667,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",20.8333333333333,"None",70.8333333333333,20.8333333333333,8.33333333333333,"Shrub-Dominated",69.4933798913452,5.03063755347899,25.4759825551758,6,8,6,23
"1192","THUFUVER:PALSA:PALSA2_4:1987","THUFUVER:PALSA:PALSA2_4","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_4",1987,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",6.12244897959184,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",30.6122448979592,"None",67.3469387755102,30.6122448979592,2.04081632653061,"Shrub-Dominated",69.4933798913452,5.03063755347899,25.4759825551758,8,8,8,23
"1193","THUFUVER:PALSA:PALSA2_4:1988","THUFUVER:PALSA:PALSA2_4","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_4",1988,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",12.8205128205128,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",30.7692307692308,"None",66.6666666666667,30.7692307692308,2.56410256410256,"Shrub-Dominated",69.4933798913452,5.03063755347899,25.4759825551758,6,8,6,23
"1194","THUFUVER:PALSA:PALSA2_4:2007","THUFUVER:PALSA:PALSA2_4","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_4",2007,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",5.06329113924051,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",25.3164556962025,"None",72.1518987341772,25.3164556962025,2.53164556962025,"Shrub-Dominated",69.4933798913452,5.03063755347899,25.4759825551758,9,8,9,23
"1195","THUFUVER:PALSA:PALSA2_5:1984","THUFUVER:PALSA:PALSA2_5","THUFUVER:PALSA","THUFUVER","PALSA","PALSA2_5",1984,"LIVE",NA,"pf_all_plot","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",3.44827586206897,"DRY",64.57,-18.6,600,"LOW","0.25","Subarctic",64.5,-18.5,"_64.5_-18.5","GreenIceLand","Point-framing (sum)","Graminoid",20.6896551724138,"None",62.0689655172414,20.6896551724138,17.2413793103448,"Shrub-Dominated",60.0658969397928,13.8700689432548,26.0640341169524,8,10,8,23
