"","X","SiteSubsitePlot","duration","richness","richness_change","Jaccard","BrayCurtis","richness_change_abs","SiteSubsite","MOISTURE","LAT","LONG","SurveyedArea","Region","PlotShrubMean","PlotGraminoidMean","PlotForbMean","MeanRichness"
"14",14,"ATQASUK:RATE_DRYAS_HEATH:19",9,20,2,0.333333333333333,0.285968078699513,2,"ATQASUK:RATE_DRYAS_HEATH","DRY",70.456021,-157.414293,1,"North America-West",52.6999451980178,30.9504924711265,16.3495623308557,16
"15",15,"ATQASUK:RATE_DRYAS_HEATH:1",9,22,-7,0.133333333333333,0.270505558260464,7,"ATQASUK:RATE_DRYAS_HEATH","DRY",70.456021,-157.414293,1,"North America-West",69.8981334060363,17.9167873811506,12.1850792128132,18
"16",16,"ATQASUK:RATE_DRYAS_HEATH:17",9,23,-4,0.315789473684211,0.305091129487866,4,"ATQASUK:RATE_DRYAS_HEATH","DRY",70.456021,-157.414293,1,"North America-West",47.870046911464,42.7881633304123,9.34178975812362,18
"17",17,"ATQASUK:RATE_DRYAS_HEATH:14",9,20,-7,0.461538461538462,0.409722889873315,7,"ATQASUK:RATE_DRYAS_HEATH","DRY",70.456021,-157.414293,1,"North America-West",69.1224695258523,24.7792479783839,6.09828249576386,14
"18",18,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:46",9,7,1,0.333333333333333,0.218140393944618,1,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW","WET",70.456021,-157.414293,1,"North America-West",0.104807154835103,92.2883937318024,7.60679911336252,6
"19",19,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:45",9,6,0,0.333333333333333,0.129874484644958,0,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW","WET",70.456021,-157.414293,1,"North America-West",5.09883409735619,92.3907961256081,2.51036977703569,5
"20",20,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:13",9,10,1,0.444444444444444,0.390963607029537,1,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW","WET",70.456021,-157.414293,1,"North America-West",0,88.7047516715823,11.2952483284177,8
"21",21,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:55",9,12,-1,0.181818181818182,0.12191692655632,1,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",39.1585197232123,51.4569460697528,9.3845342070349,10
"22",22,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:24",9,21,0,0.0952380952380952,0.374840581687872,0,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",41.4050926855734,31.0277036645308,27.5672036498958,20
"23",23,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:32",9,9,1,0,0.299459959014449,1,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",42.3940515642784,57.1156633799841,0.490285055737453,8
"24",24,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:38",9,12,-3,0,0.19503115137628,3,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",80.9337884648088,13.3418800446981,5.72433149049311,10
"25",25,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:59",9,22,2,0.3,0.509165188468709,2,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",76.8156849692496,10.383762660026,12.8005523707244,18
"26",26,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:51",9,13,0,0.461538461538462,0.243114297965631,0,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",56.5540124668574,35.4174380029202,8.02854953022245,10
"27",27,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:8",9,12,-3,0.222222222222222,0.236131224344748,3,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",83.4423700506142,14.8663888603073,1.69124108907843,10
"28",28,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:53",9,10,-1,0,0.2645820550797,1,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",68.3828687952217,22.9165275836972,8.70060362108106,10
"29",29,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:49",9,11,0,0,0.232186528964888,0,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",50.9193670623939,46.9540648627803,2.12656807482573,11
"30",30,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:58",9,19,-3,0.125,0.149652163041939,3,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",63.4624257550229,14.3075992773168,22.2299749676603,16
"31",31,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:28",9,10,-2,0,0.0992000303901609,2,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",84.4205603340663,8.85365169120678,6.72578797472694,9
"32",32,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:25",9,12,0,0.166666666666667,0.279012333927877,0,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW","DRY",70.456021,-157.414293,1,"North America-West",73.7099880314858,22.846679172563,3.44333279595119,11
"33",33,"BARROW:ARCTOPHILA_POND_ORDINATION:21",9,5,0,0,0.0985517307635941,0,"BARROW:ARCTOPHILA_POND_ORDINATION","WET",71.29,-156.64,1,"North America-West",0,66.6908194269362,33.3091805730638,5
"34",34,"BARROW:CAREX WET MEADOW_ORDINATION:16",9,3,0,0,0.215938215871866,0,"BARROW:CAREX WET MEADOW_ORDINATION","WET",71.29,-156.64,1,"North America-West",0,100,0,3
"35",35,"BARROW:CAREX WET MEADOW_ORDINATION:12",9,2,0,0,0.0638526243672212,0,"BARROW:CAREX WET MEADOW_ORDINATION","WET",71.29,-156.64,1,"North America-West",0,100,0,2
"36",36,"BARROW:CAREX_MESIC MEADOW_ORDINATION:17",9,11,-1,0.4,0.200993835832292,1,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",1.6993204326563,96.6990247439142,1.60165482342953,8
"37",37,"BARROW:CAREX_MESIC MEADOW_ORDINATION:20",9,16,4,0.166666666666667,0.508006556304517,4,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,70.5810285960607,29.4189714039393,13
"38",38,"BARROW:CAREX_MESIC MEADOW_ORDINATION:19",9,12,4,0,0.402660858098194,4,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",1.4571595103944,73.2698026697927,25.2730378198129,10
"39",39,"BARROW:CAREX_MESIC MEADOW_ORDINATION:24",9,12,-4,0.25,0.512184217346626,4,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,79.9152638673786,20.0847361326214,9
"40",40,"BARROW:CAREX_MESIC MEADOW_ORDINATION:4",9,12,-1,0.181818181818182,0.309117796247998,1,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",14.3321164822085,74.3054412816078,11.3624422361836,10
"41",41,"BARROW:CAREX_MESIC MEADOW_ORDINATION:22",9,11,-2,0.222222222222222,0.357950454736658,2,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,79.8428360884826,20.1571639115174,9
"42",42,"BARROW:CAREX_MESIC MEADOW_ORDINATION:18",9,16,3,0.307692307692308,0.411805423270038,3,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",39.4145247570528,41.623699654499,18.9617755884482,12
"43",43,"BARROW:CAREX_MESIC MEADOW_ORDINATION:23",9,7,-1,0,0.145297809512129,1,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,99.1045845272206,0.89541547277937,6
"44",44,"BARROW:CAREX_MESIC MEADOW_ORDINATION:6",9,5,-2,0,0.239831868849462,2,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,100,0,4
"45",45,"BARROW:CAREX_MESIC MEADOW_ORDINATION:3",9,9,0,0.222222222222222,0.280475153174607,0,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,89.3407536135251,10.6592463864749,8
"46",46,"BARROW:CAREX_MESIC MEADOW_ORDINATION:13",9,2,0,0,0.0543701958839574,0,"BARROW:CAREX_MESIC MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,100,0,2
"47",47,"BARROW:CAREX_MOIST MEADOW_ORDINATION:2",9,16,-1,0.533333333333333,0.289604602262798,1,"BARROW:CAREX_MOIST MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",18.9427443806115,67.183713853637,13.8735417657515,12
"48",48,"BARROW:CAREX_MOIST MEADOW_ORDINATION:9",9,15,-3,0.166666666666667,0.499789502521296,3,"BARROW:CAREX_MOIST MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",32.8768593943952,54.5237268347914,12.5994137708134,12
"49",49,"BARROW:CAREX_MOIST MEADOW_ORDINATION:14",9,11,-1,0.2,0.243809190425032,1,"BARROW:CAREX_MOIST MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",47.8529770091638,48.5408438443462,3.60617914648996,10
"50",50,"BARROW:CAREX_MOIST MEADOW_ORDINATION:15",9,13,0,0.461538461538462,0.361205847325551,0,"BARROW:CAREX_MOIST MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,86.4463929973739,13.5536070026261,10
"51",51,"BARROW:CAREX_MOIST MEADOW_ORDINATION:1",9,18,1,0.352941176470588,0.353725404975537,1,"BARROW:CAREX_MOIST MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",19.0263617004035,62.7552216271845,18.218416672412,14
"52",52,"BARROW:CAREX_MOIST MEADOW_ORDINATION:5",9,4,0,0,0.0964726524685383,0,"BARROW:CAREX_MOIST MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",0,100,0,4
"53",53,"BARROW:CAREX_MOIST MEADOW_ORDINATION:8",9,13,-7,0,0.395242882792927,7,"BARROW:CAREX_MOIST MEADOW_ORDINATION","MOIST",71.29,-156.64,1,"North America-West",30.9293339726666,66.1368856417508,2.93378038558257,10
"54",54,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB01.5",9,9,0,0.222222222222222,0.3955525606469,0,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,80.5424528301887,19.4575471698113,8
"55",55,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB02.0",9,9,0,0.222222222222222,0.25089605734767,0,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,58.7589605734767,41.2410394265233,8
"56",56,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB00.5",9,9,1,0,0.286561264822134,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,73.0072463768116,26.9927536231884,8
"57",57,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB01.0",9,6,-2,0,0.409184726522188,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,84.4427244582043,15.5572755417957,5
"58",58,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB02.5",9,11,1,0,0.290625,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,80.2951388888889,19.7048611111111,10
"59",59,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC03.5",9,6,1,0,0.301075268817204,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,81.1827956989247,18.8172043010753,6
"60",60,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB28.0",9,10,1,0,0.359463169132225,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",4.3388744852829,82.1640994357176,13.4970260789995,10
"61",61,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB29.0",9,9,0,0.444444444444444,0.313109425785482,0,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,85.6446370530878,14.3553629469122,7
"62",62,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC29.0",9,12,0,0.5,0.421944858420268,0,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0.568181818181818,88.142697466468,11.2891207153502,9
"63",63,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC18.0",9,10,-1,0.222222222222222,0.460611205432937,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,71.1035653650255,28.8964346349745,8
"64",64,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC18.5",9,10,-3,0.285714285714286,0.672405547584888,3,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,80.4519368723099,19.5480631276901,8
"65",65,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB31.0",9,3,-2,0,0.5,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,100,0,2
"66",66,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB08.0",9,6,0,0,0.233682514101531,0,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,71.3940370668815,28.6059629331184,6
"67",67,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB08.5",9,7,-1,0,0.259814204375187,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,78.0641294575966,21.9358705424034,6
"68",68,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB09.0",9,9,3,0,0.390322580645161,3,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,92.116935483871,7.88306451612903,8
"69",69,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB09.5",9,8,2,0,0.307780320366133,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,94.9942791762014,5.00572082379863,7
"70",70,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB10.0",9,10,-3,0.285714285714286,0.42546213476446,3,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,89.4007155635063,10.5992844364937,8
"71",71,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB10.5",9,9,1,0.25,0.40530303030303,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,91.5719696969697,8.4280303030303,8
"72",72,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB11.0",9,8,-2,0,0.401111111111111,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,82.1666666666667,17.8333333333333,7
"73",73,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB11.5",9,9,2,0,0.620976692563818,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,61.9311875693674,38.0688124306326,8
"74",74,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB12.0",9,9,-2,0,0.472256728778468,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,80.4244306418219,19.5755693581781,8
"75",75,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC12.0",9,10,0,0.2,0.438333333333333,0,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,57.4375,42.5625,9
"76",76,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC12.5",9,10,1,0,0.275122549019608,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,75.750612745098,24.249387254902,10
"77",77,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB13.5",9,4,-2,0,0.704273504273504,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,98.4615384615385,1.53846153846154,3
"78",78,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB14.0",9,5,-2,0,0.576954069298952,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,99.3150684931507,0.684931506849315,4
"79",79,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB14.5",9,7,0,0.285714285714286,0.402459288800266,0,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",27.2017281488867,70.9704220671319,1.82784978398139,6
"80",80,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB03.0",9,11,-4,0,0.430769230769231,4,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,65.3632478632479,34.6367521367521,9
"81",81,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB03.5",9,5,-1,0,0.145768833849329,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,78.031475748194,21.968524251806,4
"82",82,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC03.0",9,13,0,0.615384615384615,0.751092409775044,0,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,79.4465123806441,20.5534876193559,9
"83",83,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC16.0",9,4,-1,0,0.0767991407089151,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",19.0565699964196,80.9434300035804,0,4
"84",84,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC16.5",9,6,1,0.4,0.578181818181818,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",20.4545454545455,79.5454545454545,0,4
"85",85,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC17.0",9,6,3,0,0.42741935483871,3,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,90.1785714285714,9.82142857142857,4
"86",86,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC17.5",9,6,0,0,0.349029535864979,0,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,75.746835443038,24.253164556962,6
"87",87,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB18.0",9,9,-2,0,0.330223880597015,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,67.2108208955224,32.7891791044776,8
"88",88,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB18.5",9,8,-1,0,0.455252054186098,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,69.6091494559183,30.3908505440817,8
"89",89,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB31.5",9,9,-1,0,0.244781783681214,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,87.4920936116382,12.5079063883618,8
"90",90,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB32.0",9,11,-1,0.2,0.537674418604651,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,67.7441860465116,32.2558139534884,10
"91",91,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB32.5",9,13,3,0.2,0.486338797814208,3,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,68.1466302367942,31.8533697632058,10
"92",92,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB33.0",9,11,3,0,0.366153846153846,3,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",4,78.3846153846154,17.6153846153846,10
"93",93,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB33.5",9,10,1,0.222222222222222,0.573412698412698,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",17.3611111111111,69.8412698412698,12.797619047619,8
"94",94,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB34.0",9,8,-3,0,0.665,3,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",29,64.75,6.25,6
"95",95,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC00.5",9,10,4,0,0.606768609795855,4,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,89.2804471008306,10.7195528991694,8
"96",96,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC01.0",9,9,1,0,0.394134897360704,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,90.4105571847507,9.58944281524927,8
"97",97,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC01.5",9,10,0,0.2,0.297832817337461,0,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,80.2321981424149,19.7678018575851,9
"98",98,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC02.0",9,9,2,0,0.296599652519236,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,75.1675353685778,24.8324646314222,8
"99",99,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC02.5",9,15,2,0.615384615384615,0.735029354207436,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,82.7005870841487,17.2994129158513,10
"100",100,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC15.5",9,7,-2,0.4,0.448148148148148,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",37.037037037037,59.2592592592593,3.7037037037037,5
"101",101,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC28.5",9,9,0,0,0.483843537414966,0,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",6.20748299319728,70.9608843537415,22.8316326530612,9
"102",102,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB17.5",9,6,2,0,0.384312761249078,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,73.9488566510942,26.0511433489058,5
"103",103,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC10.0",9,8,2,0.333333333333333,0.406976744186047,2,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,91.6943521594685,8.30564784053156,6
"104",104,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC10.5",9,9,1,0,0.431372549019608,1,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO","MOIST",71.29,-156.64,0.5,"North America-West",0,80.4812834224599,19.5187165775401,8
